M-A,M-B,S-A,S-B,M-C,M-D,S-C,S-D,M-E,M-F,S-E,S-F,All
746.0,,,616.0,,794.0,,775.0,777.0,,749.0,,777.0
746.0,,,616.0,,794.0,,775.0,777.0,,749.0,,749.0
,712.0,728.0,,645.0,,654.0,,,736.0,,788.0,712.0
,712.0,728.0,,645.0,,654.0,,,736.0,,788.0,728.0
,712.0,728.0,,645.0,,654.0,,,736.0,,788.0,645.0
,712.0,728.0,,645.0,,654.0,,,736.0,,788.0,654.0
,712.0,728.0,,645.0,,654.0,,,736.0,,788.0,736.0
,712.0,728.0,,645.0,,654.0,,,736.0,,788.0,788.0
,687.0,,608.0,657.0,,,795.0,789.0,,769.0,,687.0
,687.0,,608.0,657.0,,,795.0,789.0,,769.0,,608.0
,687.0,,608.0,657.0,,,795.0,789.0,,769.0,,657.0
,687.0,,608.0,657.0,,,795.0,789.0,,769.0,,795.0
,687.0,,608.0,657.0,,,795.0,789.0,,769.0,,789.0
,687.0,,608.0,657.0,,,795.0,789.0,,769.0,,769.0
770.0,,750.0,,,803.0,648.0,,,726.0,,794.0,770.0
770.0,,750.0,,,803.0,648.0,,,726.0,,794.0,750.0
770.0,,750.0,,,803.0,648.0,,,726.0,,794.0,803.0
770.0,,750.0,,,803.0,648.0,,,726.0,,794.0,648.0
770.0,,750.0,,,803.0,648.0,,,726.0,,794.0,726.0
770.0,,750.0,,,803.0,648.0,,,726.0,,794.0,794.0
,686.0,,609.0,656.0,,,791.0,804.0,,775.0,,686.0
,686.0,,609.0,656.0,,,791.0,804.0,,775.0,,609.0
,686.0,,609.0,656.0,,,791.0,804.0,,775.0,,656.0
,686.0,,609.0,656.0,,,791.0,804.0,,775.0,,791.0
,686.0,,609.0,656.0,,,791.0,804.0,,775.0,,804.0
,686.0,,609.0,656.0,,,791.0,804.0,,775.0,,775.0
742.0,,,604.0,,810.0,648.0,,,730.0,,793.0,742.0
742.0,,,604.0,,810.0,648.0,,,730.0,,793.0,604.0
742.0,,,604.0,,810.0,648.0,,,730.0,,793.0,810.0
742.0,,,604.0,,810.0,648.0,,,730.0,,793.0,648.0
742.0,,,604.0,,810.0,648.0,,,730.0,,793.0,730.0
742.0,,,604.0,,810.0,648.0,,,730.0,,793.0,793.0
,714.0,715.0,,651.0,,,801.0,807.0,,792.0,,714.0
,714.0,715.0,,651.0,,,801.0,807.0,,792.0,,715.0
,714.0,715.0,,651.0,,,801.0,807.0,,792.0,,651.0
,714.0,715.0,,651.0,,,801.0,807.0,,792.0,,801.0
,714.0,715.0,,651.0,,,801.0,807.0,,792.0,,807.0
,714.0,715.0,,651.0,,,801.0,807.0,,792.0,,792.0
750.0,,,606.0,,798.0,656.0,,,767.0,,774.0,750.0
750.0,,,606.0,,798.0,656.0,,,767.0,,774.0,606.0
750.0,,,606.0,,798.0,656.0,,,767.0,,774.0,798.0
750.0,,,606.0,,798.0,656.0,,,767.0,,774.0,656.0
750.0,,,606.0,,798.0,656.0,,,767.0,,774.0,767.0
750.0,,,606.0,,798.0,656.0,,,767.0,,774.0,774.0
,712.0,719.0,,639.0,,663.0,,817.0,,791.0,,712.0
,712.0,719.0,,639.0,,663.0,,817.0,,791.0,,719.0
,712.0,719.0,,639.0,,663.0,,817.0,,791.0,,639.0
,712.0,719.0,,639.0,,663.0,,817.0,,791.0,,663.0
,712.0,719.0,,639.0,,663.0,,817.0,,791.0,,817.0
,712.0,719.0,,639.0,,663.0,,817.0,,791.0,,791.0
779.0,,,620.0,,771.0,,809.0,,842.0,,745.0,779.0
779.0,,,620.0,,771.0,,809.0,,842.0,,745.0,620.0
779.0,,,620.0,,771.0,,809.0,,842.0,,745.0,771.0
779.0,,,620.0,,771.0,,809.0,,842.0,,745.0,809.0
779.0,,,620.0,,771.0,,809.0,,842.0,,745.0,842.0
779.0,,,620.0,,771.0,,809.0,,842.0,,745.0,745.0
,717.0,717.0,,622.0,,660.0,,809.0,,784.0,,717.0
,717.0,717.0,,622.0,,660.0,,809.0,,784.0,,717.0
,717.0,717.0,,622.0,,660.0,,809.0,,784.0,,622.0
,717.0,717.0,,622.0,,660.0,,809.0,,784.0,,660.0
,717.0,717.0,,622.0,,660.0,,809.0,,784.0,,809.0
,717.0,717.0,,622.0,,660.0,,809.0,,784.0,,784.0
769.0,,,642.0,623.0,,,821.0,,801.0,,756.0,769.0
769.0,,,642.0,623.0,,,821.0,,801.0,,756.0,642.0
769.0,,,642.0,623.0,,,821.0,,801.0,,756.0,623.0
769.0,,,642.0,623.0,,,821.0,,801.0,,756.0,821.0
769.0,,,642.0,623.0,,,821.0,,801.0,,756.0,801.0
769.0,,,642.0,623.0,,,821.0,,801.0,,756.0,756.0
,709.0,727.0,,,755.0,644.0,,799.0,,774.0,,709.0
,709.0,727.0,,,755.0,644.0,,799.0,,774.0,,727.0
,709.0,727.0,,,755.0,644.0,,799.0,,774.0,,755.0
,709.0,727.0,,,755.0,644.0,,799.0,,774.0,,644.0
,709.0,727.0,,,755.0,644.0,,799.0,,774.0,,799.0
,709.0,727.0,,,755.0,644.0,,799.0,,774.0,,774.0
765.0,,,666.0,629.0,,,822.0,,771.0,,807.0,765.0
765.0,,,666.0,629.0,,,822.0,,771.0,,807.0,666.0
765.0,,,666.0,629.0,,,822.0,,771.0,,807.0,629.0
765.0,,,666.0,629.0,,,822.0,,771.0,,807.0,822.0
765.0,,,666.0,629.0,,,822.0,,771.0,,807.0,771.0
765.0,,,666.0,629.0,,,822.0,,771.0,,807.0,807.0
,703.0,711.0,,,742.0,643.0,,798.0,,742.0,,703.0
,703.0,711.0,,,742.0,643.0,,798.0,,742.0,,711.0
,703.0,711.0,,,742.0,643.0,,798.0,,742.0,,742.0
,703.0,711.0,,,742.0,643.0,,798.0,,742.0,,643.0
,703.0,711.0,,,742.0,643.0,,798.0,,742.0,,798.0
,703.0,711.0,,,742.0,643.0,,798.0,,742.0,,742.0
809.0,,,668.0,638.0,,,818.0,,769.0,,841.0,809.0
809.0,,,668.0,638.0,,,818.0,,769.0,,841.0,668.0
809.0,,,668.0,638.0,,,818.0,,769.0,,841.0,638.0
809.0,,,668.0,638.0,,,818.0,,769.0,,841.0,818.0
809.0,,,668.0,638.0,,,818.0,,769.0,,841.0,769.0
809.0,,,668.0,638.0,,,818.0,,769.0,,841.0,841.0
,706.0,726.0,,,734.0,650.0,,,740.0,723.0,,706.0
,706.0,726.0,,,734.0,650.0,,,740.0,723.0,,726.0
,706.0,726.0,,,734.0,650.0,,,740.0,723.0,,734.0
,706.0,726.0,,,734.0,650.0,,,740.0,723.0,,650.0
,706.0,726.0,,,734.0,650.0,,,740.0,723.0,,740.0
,706.0,726.0,,,734.0,650.0,,,740.0,723.0,,723.0
791.0,,,663.0,640.0,,642.0,,801.0,,,824.0,791.0
791.0,,,663.0,640.0,,642.0,,801.0,,,824.0,663.0
791.0,,,663.0,640.0,,642.0,,801.0,,,824.0,640.0
791.0,,,663.0,640.0,,642.0,,801.0,,,824.0,642.0
791.0,,,663.0,640.0,,642.0,,801.0,,,824.0,801.0
791.0,,,663.0,640.0,,642.0,,801.0,,,824.0,824.0
,706.0,739.0,,,745.0,,812.0,,722.0,711.0,,706.0
,706.0,739.0,,,745.0,,812.0,,722.0,711.0,,739.0
,706.0,739.0,,,745.0,,812.0,,722.0,711.0,,745.0
,706.0,739.0,,,745.0,,812.0,,722.0,711.0,,812.0
,706.0,739.0,,,745.0,,812.0,,722.0,711.0,,722.0
,706.0,739.0,,,745.0,,812.0,,722.0,711.0,,711.0
740.0,,,671.0,631.0,,632.0,,807.0,,,824.0,740.0
740.0,,,671.0,631.0,,632.0,,807.0,,,824.0,671.0
740.0,,,671.0,631.0,,632.0,,807.0,,,824.0,631.0
740.0,,,671.0,631.0,,632.0,,807.0,,,824.0,632.0
740.0,,,671.0,631.0,,632.0,,807.0,,,824.0,807.0
740.0,,,671.0,631.0,,632.0,,807.0,,,824.0,824.0
