Instante,RR_A,RR_B,Pos_A,Pos_B,Delta_PosA,Delta_PosB
800.0,777.0,605.0,463.0,48.0,308.0,0.0
1600.0,776.0,626.0,478.0,160.0,127.0,112.0
2400.0,750.0,647.0,343.0,279.0,140.0,119.0
3200.0,750.0,636.0,281.0,279.0,84.0,0.0
4000.0,717.0,665.0,281.0,129.0,0.0,150.0
4800.0,707.0,700.0,281.0,214.0,0.0,149.0
5600.0,746.0,712.0,281.0,552.0,0.0,338.0
6400.0,770.0,687.0,281.0,637.0,0.0,87.0
7200.0,742.0,686.0,281.0,519.0,0.0,118.0
8000.0,750.0,712.0,407.0,519.0,126.0,0.0
8800.0,779.0,717.0,407.0,519.0,119.0,0.0
9600.0,769.0,709.0,526.0,519.0,0.0,0.0
10400.0,765.0,703.0,526.0,487.0,0.0,32.0
11200.0,809.0,706.0,526.0,295.0,0.0,192.0
12000.0,791.0,706.0,526.0,295.0,0.0,0.0
12800.0,740.0,701.0,526.0,253.0,0.0,42.0
13600.0,745.0,682.0,526.0,253.0,0.0,0.0
14400.0,779.0,691.0,526.0,253.0,292.0,0.0
15200.0,751.0,693.0,0.0,253.0,234.0,0.0
16000.0,783.0,671.0,0.0,253.0,0.0,0.0
16800.0,816.0,654.0,0.0,400.0,0.0,147.0
17600.0,759.0,658.0,0.0,400.0,0.0,0.0
18400.0,775.0,684.0,0.0,190.0,0.0,210.0
19200.0,769.0,690.0,84.0,190.0,84.0,0.0
20000.0,719.0,686.0,293.0,225.0,170.0,35.0
20800.0,725.0,679.0,322.0,316.0,68.0,91.0
21600.0,772.0,698.0,420.0,316.0,98.0,0.0
22400.0,782.0,720.0,469.0,316.0,0.0,0.0
23200.0,744.0,707.0,553.0,316.0,133.0,0.0
24000.0,777.0,694.0,413.0,316.0,140.0,0.0
24800.0,810.0,690.0,413.0,316.0,0.0,0.0
25600.0,748.0,690.0,413.0,377.0,0.0,61.0
26400.0,750.0,676.0,413.0,526.0,0.0,149.0
27200.0,769.0,679.0,413.0,582.0,0.0,56.0
28000.0,754.0,673.0,413.0,582.0,0.0,0.0
28800.0,720.0,657.0,363.0,547.0,319.0,35.0
29600.0,747.0,665.0,14.0,406.0,200.0,141.0
30400.0,806.0,681.0,323.0,292.0,258.0,192.0
31200.0,821.0,704.0,392.0,407.0,0.0,115.0
32000.0,768.0,729.0,392.0,407.0,0.0,0.0
32800.0,777.0,734.0,392.0,274.0,0.0,133.0
33600.0,735.0,720.0,392.0,106.0,0.0,168.0
34400.0,768.0,737.0,392.0,0.0,0.0,106.0
35200.0,803.0,728.0,616.0,196.0,224.0,196.0
36000.0,797.0,715.0,615.0,308.0,0.0,112.0
36800.0,781.0,695.0,378.0,308.0,238.0,0.0
37600.0,794.0,700.0,259.0,308.0,119.0,0.0
38400.0,744.0,730.0,259.0,308.0,0.0,0.0
39200.0,725.0,743.0,259.0,308.0,0.0,0.0
40000.0,759.0,726.0,259.0,357.0,0.0,49.0
40800.0,775.0,703.0,259.0,638.0,0.0,281.0
41600.0,741.0,704.0,259.0,515.0,0.0,123.0
42400.0,752.0,710.0,259.0,512.0,0.0,3.0
43200.0,778.0,717.0,259.0,233.0,0.0,279.0
44000.0,796.0,714.0,259.0,127.0,0.0,106.0
44800.0,757.0,697.0,259.0,260.0,0.0,133.0
45600.0,776.0,686.0,259.0,260.0,0.0,0.0
46400.0,801.0,687.0,259.0,260.0,0.0,0.0
47200.0,730.0,721.0,259.0,260.0,198.0,0.0
48000.0,741.0,701.0,42.0,260.0,45.0,0.0
48800.0,772.0,698.0,0.0,260.0,16.0,0.0
49600.0,759.0,700.0,0.0,260.0,0.0,0.0
50400.0,764.0,715.0,0.0,330.0,0.0,70.0
51200.0,785.0,743.0,0.0,330.0,0.0,0.0
52000.0,755.0,740.0,0.0,330.0,0.0,0.0
52800.0,737.0,724.0,0.0,169.0,0.0,161.0
53600.0,739.0,731.0,116.0,169.0,0.0,0.0
54400.0,709.0,730.0,406.0,246.0,406.0,77.0
55200.0,702.0,706.0,406.0,246.0,0.0,0.0
56000.0,712.0,702.0,406.0,246.0,0.0,0.0
56800.0,712.0,727.0,406.0,246.0,0.0,0.0
57600.0,707.0,761.0,406.0,307.0,0.0,61.0
58400.0,675.0,771.0,406.0,400.0,0.0,93.0
59200.0,729.0,748.0,406.0,505.0,0.0,105.0
60000.0,765.0,731.0,406.0,638.0,0.0,133.0
60800.0,706.0,751.0,406.0,638.0,0.0,0.0
61600.0,686.0,758.0,406.0,407.0,0.0,231.0
62400.0,701.0,756.0,406.0,344.0,0.0,63.0
63200.0,736.0,739.0,406.0,344.0,0.0,0.0
64000.0,750.0,717.0,406.0,344.0,0.0,0.0
64800.0,690.0,721.0,406.0,344.0,0.0,0.0
65600.0,680.0,717.0,406.0,344.0,0.0,0.0
66400.0,704.0,714.0,406.0,225.0,0.0,119.0
67200.0,692.0,735.0,406.0,65.0,0.0,160.0
68000.0,712.0,734.0,406.0,57.0,0.0,92.0
68800.0,728.0,735.0,406.0,162.0,0.0,105.0
69600.0,784.0,727.0,406.0,162.0,0.0,0.0
70400.0,771.0,702.0,335.0,270.0,3.0,108.0
71200.0,770.0,697.0,169.0,316.0,354.0,46.0
72000.0,792.0,701.0,49.0,316.0,0.0,0.0
72800.0,760.0,700.0,49.0,316.0,0.0,0.0
73600.0,699.0,691.0,49.0,449.0,0.0,133.0
74400.0,701.0,700.0,49.0,449.0,0.0,0.0
75200.0,723.0,713.0,49.0,365.0,0.0,84.0
76000.0,740.0,720.0,289.0,365.0,39.0,0.0
76800.0,738.0,723.0,472.0,365.0,500.0,0.0
77600.0,712.0,729.0,638.0,302.0,50.0,63.0
78400.0,720.0,729.0,638.0,302.0,0.0,0.0
79200.0,730.0,725.0,638.0,302.0,0.0,0.0
80000.0,721.0,720.0,638.0,302.0,0.0,0.0
80800.0,711.0,699.0,638.0,352.0,0.0,50.0
81600.0,772.0,703.0,638.0,500.0,0.0,148.0
82400.0,803.0,706.0,302.0,540.0,91.0,40.0
83200.0,772.0,722.0,302.0,467.0,245.0,73.0
84000.0,784.0,724.0,239.0,365.0,63.0,102.0
84800.0,828.0,706.0,239.0,416.0,0.0,51.0
85600.0,828.0,710.0,239.0,484.0,0.0,96.0
86400.0,891.0,710.0,239.0,246.0,0.0,238.0
87200.0,811.0,711.0,239.0,71.0,0.0,175.0
88000.0,774.0,720.0,239.0,71.0,0.0,0.0
88800.0,778.0,702.0,498.0,79.0,232.0,8.0
89600.0,725.0,687.0,421.0,206.0,27.0,127.0
90400.0,718.0,712.0,421.0,337.0,77.0,131.0
91200.0,743.0,724.0,421.0,337.0,0.0,0.0
92000.0,812.0,736.0,421.0,414.0,0.0,77.0
92800.0,788.0,722.0,421.0,491.0,0.0,77.0
93600.0,776.0,705.0,421.0,638.0,0.0,147.0
94400.0,777.0,692.0,421.0,638.0,0.0,0.0
95200.0,731.0,691.0,421.0,518.0,0.0,120.0
96000.0,718.0,700.0,421.0,379.0,0.0,139.0
96800.0,737.0,708.0,421.0,379.0,0.0,0.0
97600.0,763.0,708.0,421.0,379.0,0.0,0.0
98400.0,769.0,702.0,421.0,379.0,0.0,0.0
99200.0,733.0,693.0,421.0,272.0,0.0,107.0
100000.0,771.0,697.0,421.0,141.0,0.0,131.0
100800.0,784.0,703.0,421.0,0.0,0.0,141.0
101600.0,710.0,692.0,421.0,119.0,0.0,119.0
102400.0,728.0,673.0,421.0,398.0,0.0,279.0
103200.0,750.0,655.0,421.0,602.0,0.0,204.0
104000.0,740.0,651.0,421.0,434.0,0.0,168.0
104800.0,729.0,659.0,421.0,434.0,0.0,0.0
105600.0,740.0,669.0,421.0,434.0,0.0,0.0
106400.0,766.0,657.0,421.0,434.0,36.0,0.0
107200.0,733.0,676.0,568.0,259.0,111.0,175.0
108000.0,712.0,685.0,638.0,259.0,70.0,0.0
108800.0,731.0,691.0,638.0,259.0,0.0,0.0
109600.0,765.0,697.0,638.0,182.0,0.0,77.0
110400.0,736.0,690.0,638.0,259.0,0.0,77.0
111200.0,731.0,688.0,638.0,382.0,0.0,123.0
112000.0,772.0,693.0,638.0,434.0,0.0,52.0
112800.0,740.0,703.0,527.0,434.0,0.0,0.0
113600.0,730.0,703.0,225.0,434.0,311.0,0.0
114400.0,742.0,690.0,135.0,434.0,102.0,0.0
115200.0,765.0,682.0,134.0,434.0,91.0,0.0
116000.0,735.0,688.0,134.0,434.0,0.0,0.0
116800.0,744.0,704.0,134.0,434.0,0.0,0.0
117600.0,767.0,715.0,134.0,312.0,0.0,122.0
118400.0,804.0,722.0,134.0,139.0,0.0,173.0
119200.0,771.0,709.0,134.0,56.0,0.0,83.0
120000.0,754.0,689.0,386.0,224.0,252.0,168.0
120800.0,759.0,660.0,386.0,224.0,0.0,0.0
121600.0,745.0,653.0,386.0,224.0,70.0,0.0
122400.0,759.0,675.0,316.0,224.0,0.0,0.0
123200.0,755.0,692.0,316.0,301.0,0.0,77.0
124000.0,734.0,693.0,316.0,408.0,0.0,107.0
124800.0,714.0,686.0,316.0,623.0,0.0,215.0
125600.0,731.0,666.0,316.0,540.0,0.0,113.0
126400.0,724.0,670.0,316.0,399.0,0.0,141.0
127200.0,709.0,676.0,442.0,316.0,126.0,83.0
128000.0,704.0,684.0,491.0,316.0,49.0,0.0
128800.0,681.0,686.0,491.0,316.0,0.0,0.0
129600.0,672.0,664.0,491.0,402.0,0.0,86.0
130400.0,720.0,668.0,491.0,433.0,0.0,175.0
131200.0,703.0,681.0,491.0,253.0,0.0,180.0
132000.0,690.0,686.0,415.0,253.0,0.0,0.0
132800.0,687.0,688.0,120.0,253.0,287.0,0.0
133600.0,695.0,677.0,120.0,253.0,84.0,0.0
134400.0,722.0,681.0,120.0,253.0,150.0,0.0
135200.0,741.0,676.0,337.0,253.0,67.0,0.0
136000.0,740.0,666.0,337.0,253.0,0.0,0.0
136800.0,714.0,660.0,337.0,253.0,0.0,0.0
137600.0,715.0,665.0,337.0,99.0,0.0,154.0
138400.0,695.0,673.0,337.0,0.0,0.0,99.0
139200.0,676.0,674.0,366.0,0.0,70.0,0.0
140000.0,679.0,662.0,519.0,259.0,112.0,259.0
140800.0,699.0,656.0,391.0,350.0,137.0,91.0
141600.0,728.0,650.0,261.0,350.0,90.0,0.0
142400.0,724.0,672.0,239.0,350.0,53.0,0.0
143200.0,736.0,669.0,239.0,350.0,0.0,0.0
144000.0,761.0,664.0,239.0,448.0,0.0,98.0
144800.0,710.0,655.0,239.0,532.0,0.0,84.0
145600.0,706.0,668.0,239.0,532.0,0.0,0.0
146400.0,715.0,674.0,239.0,322.0,0.0,210.0
147200.0,720.0,648.0,393.0,322.0,154.0,0.0
148000.0,707.0,667.0,438.0,322.0,82.0,0.0
148800.0,743.0,680.0,603.0,322.0,128.0,0.0
149600.0,761.0,683.0,603.0,322.0,0.0,0.0
150400.0,767.0,686.0,603.0,357.0,0.0,35.0
151200.0,726.0,692.0,603.0,224.0,0.0,133.0
152000.0,734.0,689.0,603.0,187.0,0.0,37.0
152800.0,720.0,687.0,603.0,267.0,0.0,90.0
153600.0,688.0,689.0,603.0,368.0,0.0,101.0
154400.0,671.0,692.0,603.0,497.0,0.0,129.0
155200.0,655.0,699.0,603.0,477.0,0.0,20.0
156000.0,665.0,701.0,603.0,343.0,0.0,134.0
156800.0,757.0,682.0,603.0,343.0,0.0,0.0
157600.0,751.0,665.0,603.0,343.0,0.0,0.0
158400.0,728.0,659.0,603.0,343.0,0.0,0.0
159200.0,745.0,659.0,603.0,343.0,0.0,0.0
160000.0,742.0,684.0,603.0,343.0,0.0,0.0
160800.0,711.0,675.0,603.0,324.0,0.0,19.0
161600.0,711.0,676.0,603.0,184.0,0.0,140.0
162400.0,764.0,681.0,603.0,199.0,0.0,103.0
163200.0,819.0,686.0,603.0,371.0,0.0,172.0
164000.0,759.0,657.0,603.0,371.0,0.0,0.0
164800.0,740.0,661.0,603.0,371.0,0.0,0.0
165600.0,761.0,664.0,455.0,371.0,228.0,0.0
166400.0,761.0,671.0,218.0,371.0,157.0,0.0
167200.0,723.0,666.0,178.0,371.0,48.0,0.0
168000.0,738.0,673.0,99.0,462.0,71.0,91.0
168800.0,756.0,677.0,99.0,462.0,0.0,0.0
169600.0,796.0,677.0,99.0,357.0,0.0,105.0
170400.0,775.0,663.0,99.0,175.0,0.0,182.0
171200.0,762.0,651.0,99.0,89.0,0.0,86.0
172000.0,757.0,680.0,190.0,84.0,91.0,5.0
172800.0,767.0,695.0,190.0,84.0,0.0,0.0
173600.0,767.0,704.0,190.0,84.0,0.0,0.0
174400.0,746.0,714.0,190.0,84.0,0.0,0.0
175200.0,714.0,719.0,190.0,84.0,0.0,0.0
176000.0,718.0,717.0,190.0,245.0,0.0,161.0
176800.0,728.0,706.0,190.0,223.0,0.0,22.0
177600.0,749.0,687.0,190.0,0.0,0.0,223.0
178400.0,705.0,664.0,190.0,52.0,0.0,52.0
179200.0,694.0,657.0,239.0,231.0,228.0,179.0
180000.0,709.0,653.0,421.0,231.0,3.0,0.0
180800.0,763.0,661.0,387.0,231.0,0.0,0.0
181600.0,777.0,660.0,288.0,231.0,133.0,0.0
182400.0,735.0,656.0,288.0,231.0,0.0,0.0
183200.0,711.0,660.0,288.0,231.0,0.0,0.0
184000.0,681.0,678.0,288.0,324.0,0.0,93.0
184800.0,663.0,688.0,288.0,465.0,0.0,141.0
185600.0,648.0,701.0,288.0,483.0,0.0,18.0
186400.0,654.0,695.0,288.0,329.0,0.0,154.0
187200.0,671.0,676.0,288.0,329.0,0.0,0.0
188000.0,702.0,673.0,463.0,329.0,175.0,0.0
188800.0,751.0,672.0,554.0,329.0,91.0,0.0
189600.0,757.0,673.0,554.0,329.0,0.0,0.0
190400.0,727.0,697.0,554.0,175.0,0.0,154.0
191200.0,741.0,694.0,554.0,246.0,0.0,71.0
192000.0,766.0,683.0,554.0,329.0,0.0,83.0
192800.0,754.0,684.0,554.0,311.0,0.0,18.0
193600.0,730.0,685.0,554.0,259.0,0.0,52.0
194400.0,756.0,689.0,425.0,350.0,218.0,91.0
195200.0,798.0,666.0,134.0,350.0,335.0,0.0
196000.0,818.0,663.0,1.0,350.0,0.0,0.0
196800.0,737.0,659.0,1.0,350.0,0.0,0.0
197600.0,749.0,649.0,1.0,285.0,0.0,65.0
198400.0,759.0,653.0,1.0,195.0,0.0,90.0
199200.0,723.0,675.0,223.0,245.0,303.0,188.0
200000.0,705.0,665.0,463.0,245.0,159.0,0.0
200800.0,727.0,656.0,406.0,245.0,80.0,0.0
201600.0,742.0,635.0,365.0,245.0,18.0,0.0
202400.0,746.0,646.0,365.0,315.0,0.0,70.0
203200.0,743.0,657.0,365.0,504.0,0.0,189.0
204000.0,783.0,658.0,365.0,611.0,0.0,107.0
204800.0,788.0,645.0,365.0,616.0,0.0,5.0
205600.0,737.0,650.0,444.0,616.0,98.0,0.0
206400.0,721.0,681.0,463.0,616.0,0.0,0.0
207200.0,775.0,688.0,463.0,616.0,0.0,0.0
208000.0,759.0,699.0,463.0,399.0,0.0,217.0
208800.0,732.0,695.0,463.0,350.0,0.0,49.0
209600.0,767.0,676.0,463.0,432.0,0.0,82.0
210400.0,795.0,671.0,463.0,567.0,0.0,135.0
211200.0,737.0,678.0,353.0,567.0,183.0,142.0
212000.0,713.0,677.0,246.0,407.0,34.0,160.0
212800.0,729.0,682.0,246.0,407.0,0.0,0.0
213600.0,742.0,664.0,379.0,407.0,133.0,0.0
214400.0,729.0,676.0,379.0,407.0,0.0,0.0
215200.0,736.0,697.0,379.0,407.0,0.0,0.0
216000.0,765.0,684.0,379.0,0.0,0.0,407.0
216800.0,819.0,657.0,379.0,98.0,0.0,98.0
217600.0,756.0,657.0,379.0,98.0,0.0,0.0
218400.0,735.0,665.0,379.0,231.0,0.0,133.0
219200.0,744.0,670.0,379.0,301.0,0.0,70.0
220000.0,722.0,646.0,60.0,301.0,283.0,0.0
220800.0,725.0,651.0,22.0,301.0,74.0,0.0
221600.0,750.0,655.0,22.0,301.0,0.0,0.0
222400.0,771.0,667.0,22.0,385.0,0.0,84.0
223200.0,735.0,647.0,22.0,385.0,0.0,0.0
224000.0,742.0,651.0,22.0,385.0,0.0,0.0
224800.0,760.0,655.0,136.0,308.0,134.0,77.0
225600.0,759.0,662.0,520.0,308.0,333.0,0.0
226400.0,733.0,669.0,638.0,308.0,149.0,0.0
227200.0,749.0,671.0,638.0,308.0,0.0,0.0
228000.0,754.0,676.0,638.0,308.0,0.0,0.0
228800.0,747.0,671.0,638.0,381.0,0.0,73.0
229600.0,722.0,673.0,638.0,476.0,0.0,95.0
230400.0,717.0,663.0,422.0,476.0,0.0,0.0
231200.0,695.0,667.0,232.0,308.0,406.0,168.0
232000.0,697.0,672.0,232.0,308.0,0.0,0.0
232800.0,718.0,683.0,232.0,308.0,0.0,0.0
233600.0,743.0,684.0,232.0,308.0,0.0,0.0
234400.0,725.0,689.0,232.0,230.0,0.0,78.0
235200.0,728.0,686.0,232.0,71.0,0.0,159.0
236000.0,757.0,690.0,232.0,266.0,0.0,337.0
236800.0,757.0,711.0,232.0,266.0,0.0,0.0
237600.0,681.0,704.0,232.0,266.0,0.0,0.0
238400.0,677.0,699.0,232.0,266.0,0.0,0.0
239200.0,682.0,683.0,232.0,416.0,0.0,150.0
240000.0,678.0,683.0,232.0,638.0,0.0,222.0
240800.0,652.0,680.0,232.0,455.0,0.0,183.0
241600.0,637.0,686.0,553.0,330.0,302.0,125.0
242400.0,659.0,678.0,638.0,330.0,104.0,0.0
243200.0,685.0,663.0,638.0,330.0,0.0,0.0
244000.0,682.0,655.0,638.0,330.0,0.0,0.0
244800.0,681.0,661.0,638.0,253.0,0.0,77.0
245600.0,716.0,669.0,638.0,337.0,66.0,84.0
246400.0,768.0,659.0,450.0,337.0,338.0,0.0
247200.0,797.0,656.0,45.0,337.0,198.0,0.0
248000.0,744.0,662.0,36.0,337.0,0.0,0.0
248800.0,734.0,674.0,36.0,505.0,0.0,168.0
249600.0,706.0,678.0,36.0,183.0,0.0,322.0
250400.0,689.0,669.0,75.0,106.0,35.0,77.0
251200.0,700.0,649.0,422.0,316.0,323.0,210.0
252000.0,717.0,651.0,456.0,316.0,62.0,0.0
252800.0,740.0,658.0,456.0,316.0,0.0,0.0
253600.0,744.0,657.0,456.0,554.0,0.0,238.0
254400.0,730.0,642.0,456.0,638.0,0.0,84.0
255200.0,702.0,642.0,456.0,484.0,0.0,154.0
256000.0,698.0,648.0,365.0,386.0,91.0,98.0
256800.0,728.0,655.0,365.0,386.0,0.0,0.0
257600.0,749.0,670.0,365.0,279.0,0.0,107.0
258400.0,739.0,659.0,365.0,117.0,0.0,170.0
259200.0,721.0,659.0,365.0,169.0,0.0,52.0
260000.0,667.0,673.0,162.0,316.0,203.0,147.0
260800.0,660.0,669.0,64.0,316.0,98.0,0.0
261600.0,700.0,659.0,232.0,316.0,145.0,0.0
262400.0,752.0,645.0,232.0,400.0,23.0,84.0
263200.0,772.0,659.0,232.0,323.0,0.0,77.0
264000.0,723.0,672.0,586.0,400.0,406.0,77.0
264800.0,723.0,664.0,638.0,400.0,0.0,0.0
265600.0,713.0,654.0,638.0,400.0,0.0,0.0
266400.0,690.0,659.0,638.0,246.0,0.0,154.0
267200.0,685.0,666.0,638.0,421.0,0.0,175.0
268000.0,713.0,667.0,638.0,421.0,0.0,0.0
268800.0,688.0,655.0,638.0,603.0,0.0,182.0
269600.0,671.0,644.0,638.0,404.0,0.0,199.0
270400.0,667.0,644.0,638.0,393.0,0.0,11.0
271200.0,676.0,648.0,638.0,393.0,0.0,0.0
272000.0,698.0,649.0,638.0,393.0,0.0,0.0
272800.0,712.0,656.0,638.0,393.0,0.0,0.0
273600.0,681.0,646.0,638.0,393.0,0.0,0.0
274400.0,686.0,646.0,638.0,485.0,0.0,92.0
275200.0,702.0,650.0,638.0,390.0,0.0,177.0
276000.0,700.0,650.0,638.0,155.0,0.0,235.0
276800.0,687.0,665.0,638.0,155.0,0.0,0.0
277600.0,710.0,677.0,638.0,384.0,0.0,229.0
278400.0,699.0,658.0,638.0,393.0,0.0,9.0
279200.0,686.0,645.0,638.0,393.0,0.0,0.0
280000.0,700.0,648.0,426.0,344.0,150.0,49.0
280800.0,731.0,646.0,92.0,344.0,325.0,0.0
281600.0,726.0,630.0,92.0,344.0,71.0,0.0
282400.0,693.0,627.0,92.0,344.0,0.0,0.0
283200.0,696.0,618.0,92.0,344.0,0.0,0.0
284000.0,715.0,607.0,92.0,127.0,0.0,217.0
284800.0,711.0,614.0,92.0,1.0,0.0,126.0
285600.0,722.0,619.0,173.0,1.0,0.0,0.0
286400.0,724.0,615.0,435.0,169.0,267.0,168.0
287200.0,708.0,618.0,435.0,323.0,76.0,154.0
288000.0,706.0,621.0,288.0,323.0,147.0,0.0
288800.0,733.0,620.0,288.0,323.0,0.0,0.0
289600.0,736.0,634.0,288.0,500.0,0.0,177.0
290400.0,701.0,640.0,288.0,599.0,0.0,99.0
291200.0,687.0,645.0,288.0,573.0,0.0,104.0
292000.0,696.0,623.0,288.0,498.0,0.0,75.0
292800.0,716.0,609.0,288.0,610.0,0.0,112.0
293600.0,743.0,594.0,288.0,610.0,0.0,0.0
294400.0,742.0,593.0,288.0,456.0,0.0,154.0
295200.0,718.0,623.0,310.0,456.0,140.0,0.0
296000.0,700.0,634.0,428.0,456.0,4.0,0.0
296800.0,660.0,638.0,638.0,386.0,206.0,70.0
297600.0,655.0,641.0,638.0,323.0,0.0,63.0
298400.0,646.0,641.0,638.0,230.0,0.0,93.0
299200.0,646.0,665.0,638.0,190.0,0.0,40.0
300000.0,664.0,677.0,638.0,190.0,0.0,0.0
300800.0,692.0,682.0,638.0,337.0,0.0,147.0
301600.0,675.0,635.0,638.0,442.0,31.0,105.0
302400.0,690.0,661.0,324.0,442.0,327.0,0.0
303200.0,719.0,671.0,0.0,442.0,280.0,0.0
304000.0,714.0,687.0,84.0,442.0,84.0,0.0
304800.0,686.0,700.0,84.0,442.0,0.0,0.0
305600.0,670.0,702.0,84.0,526.0,0.0,84.0
306400.0,694.0,701.0,84.0,398.0,0.0,128.0
307200.0,701.0,719.0,84.0,85.0,0.0,313.0
308000.0,689.0,714.0,84.0,29.0,0.0,56.0
308800.0,700.0,700.0,313.0,211.0,294.0,182.0
309600.0,736.0,693.0,378.0,211.0,0.0,0.0
310400.0,761.0,691.0,326.0,211.0,69.0,0.0
311200.0,718.0,693.0,287.0,211.0,22.0,0.0
312000.0,724.0,695.0,287.0,211.0,0.0,0.0
312800.0,765.0,691.0,287.0,421.0,0.0,210.0
313600.0,702.0,699.0,287.0,512.0,0.0,91.0
314400.0,698.0,707.0,287.0,512.0,0.0,0.0
315200.0,714.0,704.0,287.0,512.0,0.0,0.0
316000.0,731.0,696.0,429.0,512.0,133.0,0.0
316800.0,703.0,703.0,532.0,512.0,112.0,0.0
