Instante,RR_C,RR_D,Pos_C,Pos_D,Delta_PosC,Delta_PosD
800.0,608.0,845.0,134.0,638.0,219.0,0.0
1600.0,616.0,797.0,134.0,638.0,264.0,112.0
2400.0,624.0,783.0,190.0,638.0,140.0,119.0
3200.0,628.0,774.0,190.0,593.0,84.0,0.0
4000.0,614.0,765.0,190.0,309.0,0.0,77.0
4800.0,635.0,767.0,253.0,41.0,0.0,105.0
5600.0,654.0,775.0,253.0,183.0,0.0,341.0
6400.0,648.0,795.0,253.0,183.0,0.0,200.0
7200.0,648.0,791.0,204.0,183.0,0.0,119.0
8000.0,656.0,801.0,204.0,0.0,126.0,0.0
8800.0,660.0,809.0,204.0,0.0,0.0,0.0
9600.0,644.0,821.0,204.0,37.0,119.0,0.0
10400.0,643.0,822.0,204.0,357.0,0.0,0.0
11200.0,650.0,818.0,204.0,357.0,0.0,224.0
12000.0,632.0,812.0,204.0,56.0,0.0,0.0
12800.0,623.0,783.0,414.0,0.0,0.0,42.0
13600.0,627.0,771.0,414.0,0.0,0.0,0.0
14400.0,641.0,776.0,414.0,0.0,19.0,0.0
15200.0,691.0,774.0,288.0,0.0,397.0,0.0
16000.0,710.0,781.0,288.0,0.0,110.0,0.0
16800.0,682.0,775.0,288.0,0.0,0.0,147.0
17600.0,670.0,766.0,288.0,0.0,0.0,0.0
18400.0,651.0,788.0,288.0,476.0,0.0,210.0
19200.0,615.0,765.0,288.0,638.0,84.0,0.0
20000.0,606.0,781.0,288.0,554.0,238.0,35.0
20800.0,602.0,793.0,288.0,554.0,77.0,91.0
21600.0,621.0,797.0,288.0,554.0,21.0,0.0
22400.0,656.0,790.0,288.0,554.0,133.0,0.0
23200.0,668.0,788.0,288.0,554.0,109.0,0.0
24000.0,661.0,769.0,288.0,554.0,31.0,0.0
24800.0,665.0,748.0,512.0,554.0,0.0,0.0
25600.0,682.0,752.0,479.0,321.0,0.0,77.0
26400.0,675.0,749.0,456.0,22.0,0.0,189.0
27200.0,664.0,757.0,456.0,22.0,0.0,0.0
28000.0,646.0,772.0,456.0,22.0,0.0,0.0
28800.0,617.0,778.0,638.0,22.0,211.0,0.0
29600.0,611.0,780.0,638.0,22.0,259.0,140.0
30400.0,615.0,795.0,638.0,22.0,307.0,241.0
31200.0,607.0,802.0,487.0,22.0,0.0,102.0
32000.0,611.0,807.0,225.0,22.0,0.0,0.0
32800.0,632.0,803.0,295.0,421.0,0.0,133.0
33600.0,660.0,787.0,386.0,463.0,0.0,168.0
34400.0,666.0,786.0,386.0,463.0,0.0,106.0
35200.0,654.0,775.0,386.0,442.0,188.0,118.0
36000.0,649.0,765.0,386.0,218.0,36.0,141.0
36800.0,648.0,757.0,386.0,386.0,186.0,49.0
37600.0,634.0,761.0,386.0,61.0,171.0,0.0
38400.0,630.0,763.0,311.0,117.0,0.0,0.0
39200.0,637.0,782.0,561.0,351.0,0.0,0.0
40000.0,653.0,797.0,373.0,351.0,0.0,49.0
40800.0,647.0,796.0,71.0,351.0,0.0,210.0
41600.0,648.0,775.0,64.0,351.0,0.0,77.0
42400.0,667.0,778.0,64.0,351.0,0.0,120.0
43200.0,681.0,779.0,64.0,351.0,0.0,72.0
44000.0,693.0,777.0,64.0,638.0,0.0,250.0
44800.0,677.0,772.0,64.0,638.0,0.0,97.0
45600.0,661.0,753.0,456.0,638.0,0.0,99.0
46400.0,648.0,772.0,638.0,638.0,0.0,0.0
47200.0,629.0,771.0,638.0,638.0,195.0,0.0
48000.0,627.0,785.0,638.0,638.0,64.0,0.0
48800.0,619.0,785.0,638.0,638.0,0.0,0.0
49600.0,611.0,767.0,638.0,464.0,0.0,70.0
50400.0,595.0,774.0,638.0,85.0,0.0,0.0
51200.0,602.0,769.0,584.0,162.0,0.0,0.0
52000.0,613.0,767.0,296.0,162.0,0.0,91.0
52800.0,621.0,761.0,71.0,29.0,0.0,70.0
53600.0,614.0,758.0,204.0,29.0,61.0,0.0
54400.0,623.0,747.0,204.0,29.0,345.0,77.0
55200.0,626.0,754.0,204.0,29.0,0.0,0.0
56000.0,633.0,751.0,204.0,29.0,0.0,0.0
56800.0,647.0,746.0,204.0,29.0,0.0,0.0
57600.0,638.0,737.0,259.0,29.0,0.0,0.0
58400.0,625.0,730.0,302.0,29.0,0.0,154.0
59200.0,623.0,751.0,302.0,0.0,0.0,105.0
60000.0,623.0,754.0,246.0,0.0,0.0,133.0
60800.0,625.0,769.0,246.0,0.0,0.0,231.0
61600.0,624.0,763.0,246.0,0.0,0.0,63.0
62400.0,642.0,769.0,246.0,0.0,0.0,0.0
63200.0,658.0,767.0,246.0,77.0,0.0,0.0
64000.0,654.0,767.0,390.0,450.0,0.0,0.0
64800.0,669.0,757.0,569.0,638.0,0.0,0.0
65600.0,669.0,749.0,610.0,505.0,0.0,0.0
66400.0,656.0,763.0,610.0,365.0,0.0,119.0
67200.0,639.0,767.0,610.0,429.0,0.0,200.0
68000.0,625.0,781.0,446.0,547.0,0.0,109.0
68800.0,624.0,781.0,288.0,547.0,0.0,48.0
69600.0,625.0,764.0,29.0,547.0,0.0,0.0
70400.0,635.0,760.0,29.0,537.0,136.0,154.0
71200.0,640.0,764.0,29.0,183.0,166.0,0.0
72000.0,623.0,759.0,29.0,183.0,55.0,0.0
72800.0,634.0,757.0,295.0,183.0,0.0,0.0
73600.0,632.0,767.0,421.0,309.0,0.0,133.0
74400.0,635.0,765.0,421.0,309.0,0.0,0.0
75200.0,617.0,776.0,421.0,309.0,0.0,84.0
76000.0,621.0,789.0,421.0,309.0,51.0,0.0
76800.0,620.0,779.0,421.0,309.0,229.0,0.0
77600.0,618.0,774.0,309.0,309.0,259.0,0.0
78400.0,604.0,756.0,337.0,309.0,50.0,63.0
79200.0,605.0,761.0,337.0,218.0,0.0,0.0
80000.0,608.0,766.0,337.0,218.0,0.0,0.0
80800.0,631.0,792.0,337.0,218.0,0.0,175.0
81600.0,633.0,794.0,262.0,218.0,0.0,63.0
82400.0,624.0,780.0,106.0,218.0,336.0,0.0
83200.0,630.0,782.0,36.0,310.0,0.0,126.0
84000.0,634.0,779.0,330.0,638.0,63.0,49.0
84800.0,630.0,772.0,284.0,638.0,0.0,33.0
85600.0,620.0,761.0,351.0,638.0,0.0,122.0
86400.0,611.0,762.0,638.0,638.0,0.0,230.0
87200.0,612.0,769.0,638.0,638.0,0.0,175.0
88000.0,622.0,763.0,638.0,638.0,0.0,0.0
88800.0,622.0,767.0,638.0,535.0,259.0,119.0
89600.0,624.0,749.0,638.0,201.0,57.0,99.0
90400.0,616.0,749.0,638.0,127.0,20.0,48.0
91200.0,620.0,759.0,638.0,127.0,0.0,0.0
92000.0,615.0,773.0,638.0,127.0,0.0,0.0
92800.0,607.0,797.0,421.0,127.0,0.0,111.0
93600.0,594.0,783.0,421.0,127.0,0.0,158.0
94400.0,591.0,772.0,582.0,127.0,0.0,32.0
95200.0,597.0,779.0,638.0,127.0,0.0,141.0
96000.0,604.0,780.0,638.0,127.0,0.0,118.0
96800.0,593.0,779.0,638.0,0.0,0.0,0.0
97600.0,597.0,769.0,638.0,0.0,0.0,0.0
98400.0,607.0,752.0,638.0,0.0,0.0,0.0
99200.0,619.0,759.0,533.0,0.0,0.0,0.0
100000.0,609.0,755.0,466.0,0.0,0.0,379.0
100800.0,610.0,755.0,321.0,0.0,0.0,113.0
101600.0,591.0,752.0,57.0,0.0,0.0,6.0
102400.0,576.0,742.0,146.0,0.0,0.0,265.0
103200.0,578.0,756.0,148.0,350.0,0.0,248.0
104000.0,591.0,761.0,148.0,638.0,0.0,138.0
104800.0,593.0,774.0,148.0,638.0,0.0,0.0
105600.0,580.0,780.0,148.0,540.0,0.0,0.0
106400.0,605.0,770.0,148.0,540.0,0.0,0.0
107200.0,614.0,781.0,318.0,540.0,147.0,175.0
108000.0,619.0,785.0,428.0,540.0,70.0,0.0
108800.0,617.0,773.0,372.0,540.0,0.0,0.0
109600.0,609.0,759.0,372.0,540.0,0.0,77.0
110400.0,607.0,744.0,372.0,540.0,0.0,0.0
111200.0,618.0,757.0,435.0,478.0,0.0,77.0
112000.0,612.0,756.0,435.0,197.0,0.0,175.0
112800.0,599.0,765.0,435.0,197.0,0.0,0.0
113600.0,589.0,770.0,390.0,282.0,221.0,0.0
114400.0,596.0,783.0,267.0,365.0,192.0,0.0
115200.0,602.0,812.0,407.0,365.0,91.0,0.0
116000.0,600.0,802.0,477.0,365.0,0.0,0.0
116800.0,588.0,796.0,477.0,365.0,0.0,0.0
117600.0,585.0,775.0,477.0,365.0,0.0,0.0
118400.0,595.0,769.0,477.0,638.0,0.0,217.0
119200.0,607.0,765.0,358.0,638.0,0.0,161.0
120000.0,611.0,751.0,358.0,638.0,252.0,168.0
120800.0,611.0,744.0,0.0,638.0,0.0,0.0
121600.0,613.0,753.0,79.0,638.0,70.0,0.0
122400.0,604.0,757.0,252.0,638.0,0.0,0.0
123200.0,583.0,771.0,252.0,638.0,0.0,77.0
124000.0,577.0,775.0,252.0,400.0,0.0,175.0
124800.0,573.0,766.0,252.0,30.0,0.0,197.0
125600.0,573.0,760.0,581.0,126.0,0.0,63.0
126400.0,576.0,767.0,581.0,126.0,0.0,97.0
127200.0,593.0,762.0,469.0,126.0,126.0,127.0
128000.0,594.0,767.0,469.0,126.0,49.0,0.0
128800.0,594.0,760.0,469.0,126.0,0.0,0.0
129600.0,584.0,746.0,469.0,126.0,0.0,0.0
130400.0,582.0,747.0,280.0,126.0,0.0,189.0
131200.0,583.0,752.0,231.0,236.0,0.0,251.0
132000.0,598.0,757.0,336.0,553.0,0.0,1.0
132800.0,604.0,764.0,336.0,602.0,220.0,0.0
133600.0,618.0,771.0,336.0,424.0,151.0,0.0
134400.0,617.0,759.0,336.0,357.0,0.0,0.0
135200.0,611.0,776.0,336.0,357.0,217.0,0.0
136000.0,610.0,785.0,336.0,357.0,0.0,0.0
136800.0,604.0,781.0,98.0,357.0,0.0,154.0
137600.0,605.0,760.0,115.0,357.0,0.0,0.0
138400.0,596.0,768.0,301.0,28.0,0.0,99.0
139200.0,594.0,767.0,301.0,28.0,115.0,17.0
140000.0,597.0,761.0,301.0,28.0,67.0,242.0
140800.0,607.0,772.0,301.0,28.0,168.0,91.0
141600.0,595.0,758.0,618.0,28.0,112.0,0.0
142400.0,591.0,751.0,623.0,28.0,0.0,0.0
143200.0,596.0,754.0,588.0,28.0,0.0,0.0
144000.0,611.0,749.0,532.0,28.0,0.0,98.0
144800.0,634.0,755.0,469.0,28.0,0.0,84.0
145600.0,624.0,755.0,469.0,46.0,0.0,0.0
146400.0,639.0,749.0,469.0,411.0,0.0,126.0
147200.0,650.0,765.0,469.0,539.0,72.0,84.0
148000.0,654.0,781.0,469.0,539.0,82.0,0.0
148800.0,644.0,805.0,469.0,441.0,210.0,0.0
149600.0,623.0,801.0,469.0,441.0,0.0,0.0
150400.0,616.0,808.0,469.0,441.0,0.0,0.0
151200.0,614.0,814.0,469.0,441.0,0.0,66.0
152000.0,616.0,806.0,469.0,441.0,0.0,102.0
152800.0,613.0,791.0,413.0,441.0,0.0,46.0
153600.0,608.0,766.0,413.0,417.0,0.0,141.0
154400.0,610.0,760.0,413.0,168.0,0.0,170.0
155200.0,610.0,759.0,413.0,259.0,0.0,0.0
156000.0,598.0,765.0,413.0,259.0,0.0,63.0
156800.0,603.0,769.0,413.0,259.0,0.0,91.0
157600.0,612.0,768.0,413.0,259.0,0.0,0.0
158400.0,621.0,787.0,302.0,259.0,0.0,0.0
159200.0,606.0,778.0,77.0,259.0,0.0,0.0
160000.0,617.0,756.0,77.0,259.0,0.0,0.0
160800.0,628.0,755.0,280.0,259.0,0.0,63.0
161600.0,644.0,763.0,280.0,259.0,0.0,140.0
162400.0,642.0,765.0,280.0,210.0,0.0,119.0
163200.0,639.0,771.0,280.0,124.0,0.0,112.0
164000.0,626.0,775.0,406.0,0.0,0.0,0.0
164800.0,618.0,779.0,638.0,302.0,0.0,0.0
165600.0,609.0,783.0,638.0,329.0,248.0,0.0
166400.0,605.0,795.0,575.0,329.0,137.0,0.0
167200.0,609.0,782.0,575.0,329.0,119.0,88.0
168000.0,618.0,768.0,575.0,329.0,0.0,3.0
168800.0,623.0,764.0,575.0,329.0,0.0,0.0
169600.0,604.0,747.0,575.0,329.0,0.0,105.0
170400.0,608.0,730.0,349.0,329.0,0.0,182.0
171200.0,616.0,724.0,211.0,329.0,0.0,86.0
172000.0,632.0,719.0,211.0,329.0,0.0,5.0
172800.0,631.0,709.0,211.0,203.0,91.0,0.0
173600.0,627.0,718.0,211.0,203.0,0.0,0.0
174400.0,620.0,723.0,211.0,203.0,0.0,0.0
175200.0,595.0,747.0,211.0,203.0,0.0,0.0
176000.0,575.0,789.0,211.0,203.0,0.0,161.0
176800.0,590.0,796.0,211.0,203.0,0.0,119.0
177600.0,605.0,788.0,211.0,203.0,0.0,126.0
178400.0,626.0,782.0,211.0,203.0,0.0,0.0
179200.0,634.0,779.0,211.0,424.0,216.0,231.0
180000.0,658.0,778.0,211.0,476.0,15.0,0.0
180800.0,652.0,774.0,211.0,630.0,0.0,0.0
181600.0,651.0,767.0,293.0,630.0,133.0,0.0
182400.0,653.0,768.0,426.0,553.0,0.0,0.0
183200.0,631.0,780.0,638.0,553.0,0.0,0.0
184000.0,631.0,798.0,638.0,553.0,0.0,99.0
184800.0,632.0,800.0,638.0,553.0,0.0,153.0
185600.0,632.0,789.0,638.0,553.0,0.0,0.0
186400.0,643.0,778.0,363.0,553.0,0.0,71.0
187200.0,641.0,786.0,141.0,259.0,0.0,83.0
188000.0,652.0,782.0,141.0,0.0,175.0,0.0
188800.0,645.0,782.0,141.0,0.0,91.0,0.0
189600.0,654.0,785.0,141.0,0.0,0.0,0.0
190400.0,653.0,775.0,141.0,0.0,0.0,54.0
191200.0,652.0,773.0,302.0,0.0,0.0,100.0
192000.0,652.0,773.0,365.0,0.0,0.0,154.0
192800.0,652.0,767.0,365.0,0.0,0.0,0.0
193600.0,657.0,758.0,365.0,0.0,0.0,70.0
194400.0,659.0,744.0,365.0,285.0,420.0,91.0
195200.0,653.0,758.0,365.0,638.0,133.0,0.0
196000.0,646.0,774.0,365.0,638.0,0.0,0.0
196800.0,641.0,791.0,365.0,638.0,0.0,0.0
197600.0,634.0,825.0,463.0,638.0,0.0,140.0
198400.0,623.0,824.0,463.0,638.0,0.0,84.0
199200.0,614.0,800.0,463.0,638.0,313.0,119.0
200000.0,614.0,797.0,463.0,638.0,149.0,0.0
200800.0,622.0,791.0,302.0,444.0,98.0,0.0
201600.0,618.0,779.0,0.0,55.0,0.0,0.0
202400.0,625.0,774.0,308.0,0.0,0.0,70.0
203200.0,633.0,760.0,308.0,0.0,0.0,189.0
204000.0,636.0,750.0,308.0,0.0,0.0,109.0
204800.0,632.0,761.0,332.0,0.0,0.0,3.0
205600.0,624.0,768.0,467.0,0.0,98.0,0.0
206400.0,611.0,776.0,476.0,0.0,0.0,0.0
207200.0,616.0,780.0,476.0,220.0,0.0,0.0
208000.0,618.0,782.0,476.0,602.0,0.0,190.0
208800.0,618.0,759.0,296.0,638.0,0.0,76.0
209600.0,618.0,787.0,175.0,638.0,0.0,147.0
210400.0,622.0,796.0,364.0,638.0,0.0,141.0
211200.0,624.0,800.0,140.0,638.0,32.0,0.0
212000.0,619.0,805.0,140.0,638.0,185.0,231.0
212800.0,604.0,794.0,140.0,638.0,0.0,0.0
213600.0,600.0,768.0,154.0,434.0,133.0,0.0
214400.0,597.0,754.0,154.0,57.0,0.0,0.0
215200.0,593.0,764.0,154.0,141.0,0.0,0.0
216000.0,586.0,760.0,154.0,0.0,0.0,281.0
216800.0,589.0,769.0,154.0,0.0,0.0,216.0
217600.0,603.0,790.0,154.0,0.0,0.0,8.0
218400.0,595.0,804.0,154.0,0.0,0.0,133.0
219200.0,597.0,805.0,154.0,0.0,49.0,70.0
220000.0,608.0,814.0,351.0,0.0,196.0,0.0
220800.0,612.0,815.0,476.0,0.0,112.0,0.0
221600.0,613.0,802.0,476.0,0.0,0.0,0.0
222400.0,601.0,804.0,352.0,251.0,0.0,84.0
223200.0,597.0,798.0,238.0,638.0,0.0,0.0
224000.0,596.0,795.0,343.0,633.0,0.0,0.0
224800.0,597.0,789.0,343.0,533.0,36.0,9.0
225600.0,594.0,789.0,343.0,308.0,400.0,68.0
226400.0,597.0,782.0,343.0,57.0,180.0,0.0
227200.0,599.0,785.0,343.0,57.0,0.0,0.0
228000.0,592.0,779.0,343.0,244.0,0.0,0.0
228800.0,593.0,778.0,416.0,463.0,0.0,0.0
229600.0,604.0,781.0,616.0,463.0,0.0,133.0
230400.0,592.0,791.0,616.0,463.0,0.0,35.0
231200.0,589.0,785.0,616.0,463.0,319.0,116.0
232000.0,589.0,778.0,616.0,463.0,87.0,52.0
232800.0,585.0,771.0,616.0,638.0,0.0,0.0
233600.0,577.0,754.0,616.0,638.0,0.0,0.0
234400.0,596.0,762.0,343.0,638.0,0.0,203.0
235200.0,605.0,774.0,139.0,638.0,0.0,105.0
236000.0,624.0,776.0,0.0,638.0,0.0,260.0
236800.0,610.0,778.0,70.0,638.0,0.0,6.0
237600.0,616.0,765.0,70.0,638.0,0.0,0.0
238400.0,617.0,751.0,70.0,638.0,0.0,0.0
239200.0,623.0,752.0,70.0,480.0,0.0,262.0
240000.0,617.0,761.0,290.0,112.0,0.0,216.0
240800.0,613.0,767.0,399.0,63.0,0.0,6.0
241600.0,614.0,783.0,399.0,430.0,201.0,196.0
242400.0,597.0,798.0,399.0,638.0,205.0,0.0
243200.0,590.0,802.0,399.0,638.0,0.0,0.0
244000.0,582.0,802.0,399.0,638.0,0.0,0.0
244800.0,587.0,786.0,399.0,638.0,0.0,77.0
245600.0,593.0,775.0,391.0,638.0,0.0,0.0
246400.0,595.0,763.0,308.0,582.0,339.0,84.0
247200.0,596.0,752.0,364.0,302.0,263.0,0.0
248000.0,601.0,752.0,448.0,232.0,0.0,0.0
248800.0,606.0,755.0,448.0,225.0,0.0,168.0
249600.0,608.0,750.0,448.0,71.0,0.0,101.0
250400.0,603.0,756.0,448.0,71.0,0.0,298.0
251200.0,598.0,759.0,448.0,393.0,237.0,146.0
252000.0,594.0,769.0,352.0,393.0,183.0,64.0
252800.0,591.0,783.0,44.0,393.0,0.0,0.0
253600.0,594.0,753.0,28.0,393.0,0.0,322.0
254400.0,601.0,742.0,280.0,393.0,0.0,0.0
255200.0,606.0,746.0,280.0,393.0,0.0,252.0
256000.0,620.0,746.0,280.0,393.0,91.0,0.0
256800.0,641.0,750.0,532.0,393.0,0.0,0.0
257600.0,639.0,738.0,588.0,120.0,0.0,130.0
258400.0,630.0,717.0,588.0,120.0,0.0,195.0
259200.0,621.0,706.0,588.0,120.0,0.0,4.0
260000.0,617.0,737.0,588.0,120.0,203.0,147.0
260800.0,609.0,737.0,588.0,120.0,68.0,0.0
261600.0,603.0,735.0,431.0,120.0,30.0,0.0
262400.0,592.0,732.0,245.0,268.0,168.0,51.0
263200.0,601.0,778.0,245.0,331.0,99.0,110.0
264000.0,619.0,787.0,245.0,483.0,307.0,77.0
264800.0,641.0,798.0,245.0,638.0,0.0,0.0
265600.0,639.0,801.0,245.0,638.0,0.0,154.0
266400.0,628.0,791.0,434.0,638.0,0.0,124.0
267200.0,628.0,764.0,294.0,638.0,0.0,51.0
268000.0,620.0,746.0,329.0,638.0,0.0,0.0
268800.0,620.0,741.0,329.0,638.0,0.0,182.0
269600.0,619.0,739.0,329.0,403.0,0.0,210.0
270400.0,609.0,733.0,374.0,67.0,0.0,0.0
271200.0,607.0,730.0,623.0,0.0,0.0,0.0
272000.0,609.0,734.0,623.0,0.0,0.0,0.0
272800.0,603.0,740.0,483.0,0.0,0.0,0.0
273600.0,602.0,742.0,483.0,0.0,0.0,0.0
274400.0,603.0,736.0,365.0,0.0,0.0,0.0
275200.0,600.0,727.0,105.0,0.0,0.0,133.0
276000.0,595.0,733.0,105.0,464.0,0.0,371.0
276800.0,596.0,748.0,105.0,591.0,0.0,83.0
277600.0,615.0,774.0,105.0,525.0,0.0,155.0
278400.0,625.0,814.0,292.0,638.0,0.0,0.0
