Instante,RR_E,RR_F,Pos_E,Pos_F,Delta_PosE,Delta_PosF
87200.0,773.0,828.0,337.0,0.0,0.0,199.0
88000.0,773.0,819.0,260.0,0.0,0.0,69.0
88800.0,793.0,809.0,260.0,0.0,181.0,0.0
89600.0,815.0,781.0,365.0,0.0,78.0,125.0
90400.0,830.0,749.0,365.0,0.0,77.0,141.0
91200.0,804.0,763.0,365.0,0.0,0.0,0.0
92000.0,803.0,785.0,158.0,0.0,0.0,77.0
92800.0,820.0,789.0,225.0,0.0,0.0,77.0
93600.0,828.0,828.0,216.0,0.0,0.0,147.0
94400.0,836.0,831.0,243.0,0.0,0.0,21.0
95200.0,830.0,790.0,414.0,228.0,0.0,238.0
96000.0,816.0,759.0,287.0,208.0,0.0,0.0
96800.0,802.0,787.0,260.0,0.0,0.0,0.0
97600.0,774.0,803.0,315.0,0.0,0.0,0.0
98400.0,771.0,794.0,386.0,0.0,0.0,0.0
99200.0,778.0,803.0,386.0,0.0,0.0,238.0
100000.0,785.0,831.0,316.0,0.0,0.0,141.0
100800.0,804.0,831.0,302.0,0.0,0.0,0.0
101600.0,815.0,860.0,302.0,0.0,0.0,114.0
102400.0,796.0,806.0,302.0,27.0,0.0,5.0
103200.0,783.0,807.0,302.0,336.0,0.0,350.0
104000.0,786.0,829.0,302.0,336.0,0.0,301.0
104800.0,781.0,805.0,302.0,390.0,0.0,0.0
105600.0,783.0,768.0,302.0,399.0,0.0,0.0
106400.0,788.0,785.0,330.0,399.0,0.0,0.0
107200.0,789.0,811.0,330.0,399.0,141.0,71.0
108000.0,781.0,777.0,256.0,399.0,76.0,104.0
108800.0,787.0,807.0,380.0,399.0,0.0,3.0
109600.0,802.0,807.0,456.0,399.0,0.0,0.0
110400.0,810.0,817.0,295.0,399.0,0.0,74.0
111200.0,804.0,794.0,295.0,399.0,0.0,77.0
112000.0,802.0,790.0,295.0,481.0,0.0,175.0
112800.0,783.0,745.0,295.0,638.0,108.0,0.0
113600.0,771.0,723.0,295.0,638.0,305.0,0.0
114400.0,779.0,713.0,295.0,638.0,68.0,0.0
115200.0,791.0,684.0,295.0,638.0,23.0,0.0
116000.0,804.0,701.0,295.0,638.0,0.0,0.0
116800.0,813.0,788.0,414.0,638.0,0.0,0.0
117600.0,830.0,778.0,332.0,638.0,0.0,32.0
118400.0,837.0,829.0,281.0,449.0,0.0,230.0
119200.0,829.0,878.0,281.0,183.0,0.0,116.0
120000.0,812.0,848.0,281.0,183.0,252.0,168.0
120800.0,795.0,831.0,281.0,183.0,0.0,0.0
121600.0,799.0,834.0,281.0,183.0,66.0,0.0
122400.0,801.0,804.0,281.0,174.0,4.0,0.0
123200.0,799.0,768.0,281.0,134.0,0.0,77.0
124000.0,800.0,784.0,382.0,134.0,0.0,175.0
124800.0,793.0,813.0,393.0,134.0,0.0,186.0
125600.0,787.0,825.0,357.0,134.0,0.0,74.0
126400.0,804.0,829.0,148.0,134.0,0.0,144.0
127200.0,806.0,812.0,64.0,134.0,126.0,80.0
128000.0,812.0,820.0,0.0,134.0,49.0,0.0
128800.0,811.0,779.0,231.0,134.0,0.0,0.0
129600.0,795.0,774.0,532.0,134.0,0.0,0.0
130400.0,777.0,806.0,420.0,134.0,0.0,240.0
131200.0,786.0,843.0,357.0,230.0,0.0,201.0
132000.0,785.0,799.0,315.0,505.0,73.0,0.0
132800.0,789.0,795.0,315.0,638.0,298.0,0.0
133600.0,794.0,797.0,315.0,638.0,0.0,0.0
134400.0,787.0,818.0,315.0,638.0,112.0,0.0
135200.0,776.0,802.0,390.0,638.0,105.0,0.0
136000.0,781.0,801.0,333.0,638.0,0.0,0.0
136800.0,788.0,823.0,161.0,638.0,0.0,154.0
137600.0,799.0,837.0,218.0,638.0,0.0,0.0
138400.0,817.0,794.0,427.0,638.0,0.0,99.0
139200.0,800.0,823.0,329.0,638.0,125.0,27.0
140000.0,789.0,840.0,266.0,443.0,57.0,232.0
140800.0,794.0,800.0,266.0,330.0,168.0,91.0
141600.0,793.0,766.0,266.0,267.0,112.0,0.0
142400.0,775.0,779.0,266.0,36.0,0.0,0.0
143200.0,772.0,785.0,266.0,36.0,0.0,0.0
144000.0,775.0,768.0,343.0,36.0,0.0,98.0
144800.0,778.0,751.0,261.0,36.0,0.0,84.0
145600.0,774.0,768.0,56.0,36.0,0.0,0.0
146400.0,775.0,802.0,99.0,36.0,0.0,210.0
147200.0,777.0,790.0,189.0,106.0,154.0,0.0
148000.0,791.0,822.0,189.0,344.0,164.0,0.0
148800.0,797.0,828.0,189.0,344.0,46.0,0.0
149600.0,794.0,785.0,189.0,344.0,0.0,0.0
150400.0,785.0,744.0,189.0,344.0,0.0,0.0
151200.0,766.0,751.0,385.0,344.0,0.0,168.0
152000.0,763.0,776.0,623.0,344.0,0.0,36.0
152800.0,764.0,796.0,455.0,344.0,0.0,97.0
153600.0,772.0,755.0,455.0,344.0,0.0,149.0
154400.0,776.0,779.0,209.0,344.0,0.0,75.0
155200.0,786.0,824.0,134.0,344.0,0.0,0.0
156000.0,814.0,799.0,231.0,344.0,0.0,119.0
156800.0,827.0,757.0,231.0,344.0,0.0,35.0
157600.0,827.0,776.0,301.0,127.0,0.0,0.0
158400.0,840.0,790.0,301.0,0.0,0.0,0.0
159200.0,832.0,783.0,301.0,0.0,0.0,0.0
160000.0,806.0,773.0,385.0,0.0,0.0,0.0
160800.0,776.0,786.0,385.0,0.0,0.0,0.0
161600.0,749.0,823.0,324.0,0.0,0.0,140.0
162400.0,726.0,823.0,322.0,0.0,0.0,111.0
163200.0,723.0,797.0,322.0,256.0,0.0,183.0
164000.0,743.0,816.0,322.0,329.0,0.0,0.0
164800.0,769.0,833.0,322.0,581.0,0.0,0.0
165600.0,782.0,780.0,272.0,343.0,157.0,0.0
166400.0,793.0,772.0,203.0,343.0,228.0,0.0
167200.0,780.0,784.0,323.0,343.0,85.0,0.0
168000.0,763.0,778.0,572.0,343.0,34.0,91.0
168800.0,774.0,757.0,623.0,343.0,0.0,0.0
169600.0,782.0,787.0,441.0,196.0,0.0,56.0
170400.0,796.0,828.0,441.0,182.0,0.0,223.0
171200.0,822.0,831.0,441.0,343.0,0.0,95.0
172000.0,851.0,795.0,567.0,490.0,0.0,4.0
172800.0,871.0,787.0,207.0,490.0,91.0,0.0
173600.0,848.0,777.0,0.0,490.0,0.0,0.0
174400.0,807.0,748.0,103.0,490.0,0.0,0.0
175200.0,802.0,744.0,322.0,490.0,0.0,0.0
176000.0,803.0,768.0,322.0,490.0,0.0,142.0
176800.0,807.0,780.0,322.0,273.0,0.0,19.0
177600.0,826.0,767.0,322.0,196.0,0.0,119.0
178400.0,827.0,791.0,191.0,196.0,0.0,126.0
179200.0,805.0,765.0,427.0,196.0,231.0,231.0
180000.0,792.0,749.0,336.0,196.0,0.0,0.0
180800.0,763.0,767.0,287.0,308.0,0.0,0.0
181600.0,751.0,797.0,287.0,532.0,133.0,0.0
182400.0,739.0,772.0,287.0,638.0,0.0,0.0
183200.0,768.0,785.0,287.0,638.0,0.0,0.0
184000.0,792.0,798.0,287.0,638.0,0.0,147.0
184800.0,838.0,788.0,287.0,638.0,0.0,105.0
185600.0,856.0,751.0,287.0,638.0,0.0,0.0
186400.0,863.0,765.0,399.0,638.0,0.0,154.0
187200.0,863.0,786.0,476.0,638.0,0.0,0.0
188000.0,863.0,778.0,476.0,594.0,175.0,0.0
188800.0,843.0,783.0,308.0,193.0,91.0,0.0
189600.0,833.0,814.0,308.0,0.0,0.0,0.0
190400.0,799.0,811.0,308.0,233.0,0.0,154.0
191200.0,779.0,767.0,308.0,238.0,0.0,0.0
192000.0,788.0,755.0,308.0,238.0,0.0,154.0
192800.0,785.0,768.0,308.0,112.0,0.0,3.0
193600.0,799.0,799.0,308.0,112.0,0.0,97.0
194400.0,814.0,763.0,308.0,112.0,296.0,61.0
195200.0,812.0,771.0,448.0,112.0,234.0,0.0
196000.0,797.0,806.0,243.0,112.0,23.0,0.0
196800.0,795.0,848.0,140.0,112.0,0.0,0.0
197600.0,810.0,797.0,0.0,112.0,0.0,92.0
198400.0,819.0,799.0,201.0,112.0,0.0,132.0
199200.0,843.0,799.0,315.0,295.0,128.0,16.0
200000.0,848.0,790.0,315.0,350.0,334.0,103.0
200800.0,835.0,760.0,315.0,231.0,24.0,0.0
201600.0,835.0,781.0,315.0,224.0,74.0,0.0
202400.0,817.0,794.0,315.0,224.0,0.0,0.0
203200.0,795.0,734.0,315.0,42.0,0.0,153.0
204000.0,777.0,729.0,315.0,205.0,0.0,151.0
204800.0,785.0,724.0,315.0,210.0,0.0,67.0
205600.0,808.0,754.0,315.0,210.0,36.0,0.0
206400.0,832.0,781.0,315.0,7.0,62.0,0.0
207200.0,840.0,810.0,315.0,236.0,0.0,0.0
208000.0,811.0,810.0,315.0,378.0,0.0,0.0
208800.0,791.0,716.0,315.0,267.0,0.0,266.0
209600.0,786.0,718.0,315.0,364.0,0.0,217.0
210400.0,792.0,701.0,315.0,364.0,0.0,71.0
211200.0,809.0,706.0,235.0,364.0,38.0,0.0
212000.0,829.0,735.0,116.0,364.0,179.0,231.0
212800.0,859.0,780.0,0.0,364.0,0.0,0.0
213600.0,868.0,766.0,83.0,364.0,133.0,0.0
214400.0,833.0,753.0,252.0,364.0,0.0,0.0
215200.0,804.0,758.0,322.0,364.0,0.0,0.0
216000.0,814.0,795.0,322.0,210.0,0.0,258.0
216800.0,818.0,780.0,322.0,84.0,0.0,221.0
217600.0,824.0,790.0,322.0,154.0,0.0,26.0
218400.0,838.0,827.0,182.0,154.0,0.0,133.0
219200.0,839.0,817.0,168.0,154.0,49.0,70.0
220000.0,835.0,772.0,322.0,154.0,196.0,0.0
220800.0,823.0,763.0,322.0,154.0,112.0,0.0
221600.0,793.0,768.0,322.0,154.0,0.0,0.0
222400.0,786.0,763.0,322.0,154.0,0.0,84.0
223200.0,792.0,753.0,322.0,70.0,0.0,0.0
224000.0,801.0,770.0,322.0,0.0,0.0,0.0
224800.0,817.0,757.0,322.0,0.0,285.0,77.0
225600.0,822.0,739.0,322.0,0.0,331.0,0.0
226400.0,858.0,768.0,322.0,0.0,0.0,0.0
227200.0,870.0,805.0,322.0,0.0,0.0,0.0
228000.0,870.0,804.0,322.0,0.0,0.0,0.0
228800.0,877.0,821.0,322.0,0.0,0.0,84.0
229600.0,842.0,806.0,168.0,0.0,0.0,84.0
230400.0,813.0,779.0,195.0,0.0,192.0,56.0
231200.0,814.0,747.0,224.0,0.0,214.0,112.0
