Instante,RR_E,RR_F,Pos_E,Pos_F,Delta_PosE,Delta_PosF
800.0,778.0,773.0,435.0,7.0,270.0,0.0
1600.0,759.0,761.0,435.0,287.0,213.0,112.0
2400.0,757.0,776.0,435.0,287.0,140.0,119.0
3200.0,763.0,752.0,435.0,287.0,84.0,0.0
4000.0,766.0,740.0,435.0,287.0,0.0,77.0
4800.0,766.0,784.0,277.0,371.0,0.0,105.0
5600.0,749.0,821.0,36.0,592.0,0.0,375.0
6400.0,769.0,788.0,36.0,638.0,0.0,166.0
7200.0,775.0,794.0,36.0,638.0,0.0,119.0
8000.0,792.0,793.0,36.0,449.0,126.0,0.0
8800.0,791.0,774.0,36.0,298.0,0.0,0.0
9600.0,784.0,745.0,36.0,267.0,119.0,0.0
10400.0,774.0,756.0,36.0,267.0,0.0,0.0
11200.0,742.0,807.0,163.0,267.0,0.0,221.0
12000.0,723.0,841.0,520.0,267.0,0.0,3.0
12800.0,711.0,824.0,638.0,202.0,0.0,42.0
13600.0,703.0,824.0,638.0,71.0,0.0,0.0
14400.0,719.0,816.0,399.0,218.0,38.0,0.0
15200.0,782.0,774.0,344.0,218.0,398.0,0.0
16000.0,802.0,760.0,512.0,218.0,90.0,0.0
16800.0,824.0,791.0,512.0,218.0,0.0,147.0
17600.0,817.0,837.0,512.0,218.0,0.0,0.0
18400.0,790.0,817.0,512.0,106.0,0.0,175.0
19200.0,798.0,821.0,177.0,302.0,0.0,35.0
20000.0,803.0,837.0,435.0,414.0,117.0,0.0
20800.0,813.0,812.0,225.0,281.0,205.0,101.0
21600.0,812.0,819.0,225.0,281.0,98.0,25.0
22400.0,811.0,821.0,225.0,281.0,0.0,0.0
23200.0,794.0,779.0,225.0,281.0,133.0,0.0
24000.0,777.0,782.0,225.0,281.0,140.0,0.0
24800.0,756.0,791.0,225.0,358.0,0.0,0.0
25600.0,746.0,752.0,225.0,197.0,0.0,0.0
26400.0,748.0,732.0,225.0,222.0,0.0,147.0
27200.0,747.0,754.0,222.0,530.0,0.0,119.0
28000.0,764.0,784.0,0.0,505.0,0.0,0.0
28800.0,794.0,811.0,0.0,323.0,23.0,0.0
29600.0,798.0,727.0,0.0,323.0,617.0,304.0
30400.0,769.0,733.0,0.0,393.0,137.0,179.0
31200.0,764.0,747.0,260.0,393.0,0.0,0.0
32000.0,766.0,730.0,638.0,46.0,0.0,0.0
32800.0,763.0,707.0,638.0,0.0,0.0,133.0
33600.0,778.0,706.0,638.0,252.0,0.0,168.0
34400.0,784.0,715.0,638.0,252.0,0.0,106.0
35200.0,776.0,706.0,638.0,252.0,96.0,26.0
36000.0,768.0,737.0,638.0,252.0,128.0,176.0
36800.0,786.0,768.0,404.0,252.0,92.0,106.0
37600.0,798.0,771.0,225.0,420.0,238.0,0.0
38400.0,821.0,745.0,0.0,454.0,27.0,0.0
39200.0,845.0,775.0,0.0,217.0,0.0,13.0
40000.0,829.0,825.0,280.0,217.0,0.0,236.0
40800.0,832.0,806.0,638.0,217.0,0.0,81.0
41600.0,816.0,819.0,495.0,217.0,0.0,124.0
42400.0,791.0,819.0,413.0,217.0,0.0,0.0
43200.0,767.0,839.0,638.0,222.0,0.0,17.0
44000.0,779.0,757.0,638.0,329.0,0.0,370.0
44800.0,775.0,751.0,638.0,238.0,0.0,133.0
45600.0,785.0,755.0,638.0,238.0,0.0,0.0
46400.0,791.0,726.0,601.0,399.0,0.0,0.0
47200.0,769.0,714.0,217.0,399.0,87.0,0.0
48000.0,781.0,721.0,0.0,63.0,130.0,0.0
48800.0,795.0,756.0,0.0,197.0,42.0,0.0
49600.0,803.0,796.0,0.0,280.0,0.0,0.0
50400.0,807.0,784.0,0.0,280.0,0.0,70.0
51200.0,787.0,785.0,7.0,280.0,0.0,0.0
52000.0,781.0,773.0,394.0,280.0,0.0,0.0
52800.0,787.0,761.0,638.0,584.0,0.0,161.0
53600.0,790.0,737.0,638.0,623.0,0.0,0.0
54400.0,796.0,763.0,638.0,462.0,304.0,77.0
55200.0,786.0,776.0,638.0,322.0,102.0,0.0
56000.0,780.0,758.0,638.0,322.0,0.0,0.0
56800.0,774.0,739.0,352.0,161.0,0.0,0.0
57600.0,768.0,759.0,176.0,253.0,0.0,154.0
58400.0,754.0,807.0,176.0,350.0,0.0,105.0
59200.0,773.0,840.0,22.0,224.0,0.0,133.0
60000.0,777.0,840.0,130.0,224.0,0.0,0.0
60800.0,792.0,855.0,396.0,224.0,0.0,0.0
61600.0,806.0,848.0,400.0,224.0,0.0,231.0
62400.0,780.0,818.0,400.0,224.0,0.0,63.0
63200.0,789.0,778.0,400.0,224.0,0.0,0.0
64000.0,770.0,785.0,400.0,336.0,0.0,0.0
64800.0,741.0,817.0,238.0,336.0,0.0,0.0
65600.0,730.0,813.0,344.0,336.0,0.0,0.0
66400.0,719.0,783.0,540.0,204.0,0.0,1.0
67200.0,715.0,799.0,638.0,140.0,0.0,118.0
68000.0,718.0,784.0,638.0,217.0,0.0,210.0
68800.0,734.0,765.0,638.0,217.0,0.0,147.0
69600.0,742.0,808.0,638.0,217.0,0.0,0.0
70400.0,734.0,847.0,638.0,217.0,0.0,99.0
71200.0,763.0,773.0,638.0,217.0,203.0,55.0
72000.0,762.0,776.0,638.0,160.0,154.0,0.0
72800.0,765.0,790.0,566.0,176.0,0.0,0.0
73600.0,761.0,773.0,196.0,560.0,0.0,133.0
74400.0,752.0,799.0,195.0,560.0,0.0,84.0
75200.0,740.0,799.0,323.0,560.0,0.0,0.0
76000.0,744.0,828.0,111.0,553.0,0.0,0.0
76800.0,771.0,778.0,548.0,364.0,539.0,0.0
77600.0,753.0,810.0,550.0,364.0,50.0,63.0
78400.0,766.0,810.0,302.0,364.0,0.0,0.0
79200.0,766.0,789.0,74.0,364.0,0.0,0.0
80000.0,756.0,789.0,203.0,364.0,0.0,0.0
80800.0,743.0,828.0,288.0,364.0,0.0,0.0
81600.0,726.0,756.0,174.0,245.0,0.0,238.0
82400.0,734.0,757.0,100.0,245.0,336.0,0.0
83200.0,743.0,770.0,182.0,355.0,0.0,126.0
84000.0,758.0,774.0,182.0,476.0,63.0,49.0
84800.0,777.0,734.0,182.0,308.0,0.0,24.0
85600.0,776.0,729.0,182.0,308.0,0.0,109.0
86400.0,779.0,743.0,182.0,308.0,0.0,252.0
87200.0,775.0,768.0,182.0,308.0,0.0,175.0
88000.0,778.0,766.0,287.0,308.0,0.0,0.0
88800.0,777.0,789.0,595.0,308.0,259.0,101.0
89600.0,780.0,764.0,442.0,172.0,43.0,103.0
90400.0,769.0,717.0,231.0,96.0,34.0,62.0
91200.0,766.0,711.0,140.0,0.0,0.0,0.0
92000.0,793.0,694.0,140.0,0.0,0.0,0.0
92800.0,804.0,749.0,140.0,260.0,0.0,154.0
93600.0,818.0,772.0,140.0,343.0,0.0,147.0
94400.0,812.0,798.0,140.0,273.0,0.0,0.0
95200.0,791.0,854.0,140.0,273.0,0.0,259.0
96000.0,785.0,815.0,391.0,476.0,0.0,0.0
96800.0,798.0,775.0,568.0,638.0,0.0,0.0
97600.0,795.0,814.0,638.0,592.0,0.0,0.0
98400.0,796.0,805.0,638.0,337.0,0.0,0.0
99200.0,795.0,770.0,526.0,337.0,0.0,238.0
100000.0,797.0,735.0,526.0,337.0,0.0,141.0
100800.0,808.0,745.0,526.0,337.0,0.0,100.0
101600.0,807.0,773.0,526.0,257.0,0.0,19.0
102400.0,789.0,789.0,526.0,134.0,0.0,247.0
103200.0,770.0,779.0,526.0,0.0,0.0,260.0
104000.0,741.0,817.0,337.0,252.0,0.0,144.0
104800.0,740.0,854.0,456.0,252.0,0.0,0.0
105600.0,729.0,848.0,288.0,252.0,0.0,0.0
106400.0,721.0,817.0,288.0,210.0,79.0,9.0
107200.0,712.0,828.0,400.0,276.0,138.0,166.0
108000.0,713.0,810.0,435.0,427.0,0.0,0.0
108800.0,723.0,779.0,589.0,283.0,0.0,0.0
109600.0,730.0,806.0,441.0,231.0,0.0,77.0
110400.0,727.0,839.0,435.0,231.0,0.0,77.0
111200.0,741.0,839.0,435.0,231.0,0.0,0.0
112000.0,751.0,845.0,435.0,231.0,0.0,175.0
112800.0,748.0,837.0,435.0,178.0,0.0,0.0
113600.0,742.0,827.0,435.0,171.0,180.0,0.0
114400.0,757.0,835.0,187.0,511.0,233.0,0.0
115200.0,762.0,787.0,106.0,366.0,91.0,0.0
116000.0,769.0,786.0,0.0,266.0,0.0,0.0
116800.0,783.0,807.0,0.0,266.0,0.0,0.0
117600.0,788.0,811.0,375.0,420.0,0.0,0.0
118400.0,774.0,774.0,612.0,420.0,0.0,217.0
119200.0,770.0,808.0,457.0,47.0,0.0,161.0
120000.0,775.0,834.0,400.0,0.0,228.0,151.0
120800.0,766.0,794.0,400.0,105.0,24.0,17.0
121600.0,765.0,765.0,400.0,357.0,0.0,0.0
122400.0,749.0,792.0,400.0,518.0,70.0,0.0
123200.0,757.0,819.0,400.0,329.0,0.0,0.0
124000.0,769.0,800.0,400.0,329.0,0.0,95.0
124800.0,772.0,799.0,78.0,329.0,0.0,271.0
125600.0,782.0,849.0,17.0,329.0,0.0,146.0
126400.0,798.0,832.0,0.0,532.0,0.0,0.0
127200.0,798.0,773.0,0.0,364.0,119.0,161.0
128000.0,788.0,766.0,0.0,140.0,56.0,63.0
128800.0,755.0,776.0,0.0,0.0,0.0,0.0
129600.0,755.0,795.0,0.0,98.0,0.0,0.0
130400.0,756.0,773.0,0.0,217.0,0.0,142.0
131200.0,755.0,806.0,522.0,301.0,0.0,244.0
132000.0,763.0,807.0,638.0,256.0,0.0,55.0
132800.0,773.0,790.0,638.0,147.0,189.0,0.0
133600.0,783.0,762.0,613.0,245.0,182.0,0.0
134400.0,781.0,779.0,497.0,361.0,0.0,0.0
135200.0,764.0,801.0,225.0,448.0,202.0,0.0
136000.0,749.0,799.0,225.0,483.0,15.0,0.0
136800.0,760.0,799.0,225.0,343.0,0.0,154.0
137600.0,762.0,777.0,225.0,343.0,0.0,0.0
138400.0,756.0,747.0,225.0,259.0,0.0,99.0
139200.0,755.0,765.0,225.0,259.0,124.0,26.0
140000.0,758.0,781.0,225.0,504.0,58.0,233.0
140800.0,753.0,794.0,225.0,638.0,168.0,91.0
141600.0,741.0,762.0,225.0,575.0,112.0,0.0
142400.0,743.0,798.0,225.0,274.0,0.0,0.0
143200.0,747.0,842.0,225.0,274.0,0.0,0.0
144000.0,751.0,806.0,225.0,274.0,0.0,98.0
144800.0,768.0,773.0,225.0,274.0,0.0,84.0
145600.0,774.0,776.0,225.0,274.0,0.0,0.0
146400.0,797.0,789.0,225.0,176.0,0.0,210.0
147200.0,797.0,748.0,225.0,64.0,154.0,0.0
148000.0,800.0,729.0,225.0,218.0,124.0,0.0
148800.0,762.0,744.0,225.0,218.0,86.0,0.0
149600.0,768.0,740.0,484.0,218.0,0.0,0.0
150400.0,766.0,725.0,638.0,218.0,0.0,0.0
151200.0,766.0,731.0,409.0,218.0,0.0,57.0
152000.0,764.0,758.0,323.0,218.0,0.0,111.0
152800.0,757.0,778.0,323.0,218.0,0.0,42.0
153600.0,763.0,760.0,323.0,393.0,0.0,97.0
154400.0,764.0,781.0,323.0,314.0,0.0,218.0
155200.0,750.0,803.0,323.0,267.0,0.0,0.0
156000.0,753.0,801.0,323.0,267.0,0.0,63.0
156800.0,754.0,806.0,267.0,267.0,0.0,91.0
157600.0,758.0,837.0,176.0,267.0,0.0,0.0
158400.0,764.0,842.0,243.0,173.0,0.0,0.0
159200.0,758.0,780.0,246.0,288.0,0.0,0.0
160000.0,772.0,760.0,343.0,631.0,0.0,0.0
160800.0,775.0,754.0,414.0,483.0,0.0,0.0
161600.0,786.0,739.0,414.0,330.0,0.0,203.0
162400.0,790.0,728.0,414.0,330.0,0.0,154.0
163200.0,764.0,702.0,414.0,477.0,0.0,77.0
164000.0,760.0,733.0,414.0,252.0,0.0,0.0
164800.0,758.0,764.0,414.0,68.0,0.0,0.0
