TicksTime,PosB,PosA,ScoreB,ScoreA
27136,440,636,0,0
,,,,
27151,440,636,0,0
,,,,
27165,440,636,0,0
,,,,
27180,440,636,0,0
,,,,
27195,440,636,0,0
,,,,
27212,440,636,0,0
,,,,
27227,440,636,0,0
,,,,
27243,440,636,0,0
,,,,
27256,440,636,0,0
,,,,
27271,440,636,0,0
,,,,
27287,440,636,0,0
,,,,
27303,440,636,0,0
,,,,
27318,440,636,0,0
,,,,
27332,440,636,0,0
,,,,
27347,440,636,0,0
,,,,
27361,440,636,0,0
,,,,
27376,440,636,0,0
,,,,
27390,440,636,0,0
,,,,
27404,440,636,0,0
,,,,
27418,440,636,0,0
,,,,
27431,440,636,0,0
,,,,
27444,440,636,0,0
,,,,
27457,440,636,0,0
,,,,
27471,440,636,0,0
,,,,
27485,440,636,0,0
,,,,
27497,440,636,0,0
,,,,
27510,440,636,0,0
,,,,
27525,440,636,0,0
,,,,
27538,440,636,0,0
,,,,
27553,440,636,0,0
,,,,
27564,440,636,0,0
,,,,
27577,440,636,0,0
,,,,
27593,440,636,0,0
,,,,
27604,440,636,0,0
,,,,
27619,440,636,0,0
,,,,
27633,440,636,0,0
,,,,
27646,433,636,0,0
,,,,
27660,426,636,0,0
,,,,
27675,419,636,0,0
,,,,
27689,412,636,0,0
,,,,
27702,405,636,0,0
,,,,
27716,398,636,0,0
,,,,
27729,391,636,0,0
,,,,
27744,391,636,0,0
,,,,
27758,391,636,0,0
,,,,
27772,391,636,0,0
,,,,
27787,391,636,0,0
,,,,
27801,391,636,0,0
,,,,
27813,391,636,0,0
,,,,
27827,391,636,0,0
,,,,
27840,391,636,0,0
,,,,
27854,391,636,0,0
,,,,
27868,391,636,0,0
,,,,
27880,391,636,0,0
,,,,
27894,391,636,0,0
,,,,
27907,391,636,0,0
,,,,
27919,391,636,0,0
,,,,
27933,391,636,0,0
,,,,
27946,384,636,0,0
,,,,
27960,377,636,0,0
,,,,
27971,377,636,0,0
,,,,
27986,377,636,0,0
,,,,
27998,377,636,0,0
,,,,
28010,377,636,0,0
,,,,
28023,377,636,0,0
,,,,
28037,377,636,0,0
,,,,
28051,377,636,0,0
,,,,
28062,377,636,0,0
,,,,
28076,377,636,0,0
,,,,
28090,377,636,0,0
,,,,
28103,377,636,0,0
,,,,
28119,377,636,0,0
,,,,
28131,377,636,0,0
,,,,
28144,377,636,0,0
,,,,
28158,377,636,0,0
,,,,
28173,377,636,0,0
,,,,
28187,377,636,0,0
,,,,
28200,377,636,0,0
,,,,
28212,377,636,0,0
,,,,
28226,377,636,0,0
,,,,
28237,377,636,0,0
,,,,
28252,377,636,0,0
,,,,
28264,377,636,0,0
,,,,
28277,377,636,0,0
,,,,
28292,377,636,0,0
,,,,
28306,377,636,0,0
,,,,
28320,370,636,0,0
,,,,
28333,363,636,0,0
,,,,
28345,356,636,0,0
,,,,
28360,349,636,0,0
,,,,
28375,342,636,0,0
,,,,
28387,335,636,0,0
,,,,
28401,328,636,0,0
,,,,
28414,321,636,0,0
,,,,
28428,314,636,0,0
,,,,
28441,314,636,0,0
,,,,
28453,314,636,0,0
,,,,
28467,314,636,0,0
,,,,
28479,314,629,0,0
,,,,
28494,314,622,0,0
,,,,
28509,314,615,0,0
,,,,
28522,314,608,0,0
,,,,
28536,314,601,0,0
,,,,
28551,314,594,0,0
,,,,
28563,314,587,0,0
,,,,
28577,314,580,0,0
,,,,
28590,314,573,0,0
,,,,
28603,314,566,0,0
,,,,
28616,314,559,0,0
,,,,
28628,314,552,0,0
,,,,
28642,314,545,0,0
,,,,
28658,314,538,0,0
,,,,
28670,314,531,0,0
,,,,
28683,314,524,0,0
,,,,
28696,314,517,0,0
,,,,
28710,314,510,0,0
,,,,
28725,314,503,0,0
,,,,
28738,314,496,0,0
,,,,
28754,314,489,0,0
,,,,
28769,314,482,0,0
,,,,
28781,314,475,0,0
,,,,
28794,314,468,0,0
,,,,
28808,314,461,0,0
,,,,
28821,314,454,0,0
,,,,
28836,314,447,0,0
,,,,
28848,314,440,0,0
,,,,
28861,314,433,0,0
,,,,
28875,314,426,0,0
,,,,
28887,314,419,0,0
,,,,
28902,314,412,0,0
,,,,
28914,314,405,0,0
,,,,
28927,307,398,0,0
,,,,
28940,300,391,0,0
,,,,
28953,293,384,0,0
,,,,
28969,286,377,0,0
,,,,
28980,279,370,0,0
,,,,
28993,272,363,0,0
,,,,
29008,265,356,0,0
,,,,
29020,258,349,0,0
,,,,
29034,251,342,0,0
,,,,
29048,244,335,0,0
,,,,
29062,237,328,0,0
,,,,
29076,230,321,0,0
,,,,
29092,223,314,0,0
,,,,
