TicksTime,BallPosX,BallPosY,BallSpeed,PosF,PosPC,ScoreF,ScorePC
23656,1183,636,4,419,552,0,0
,,,,,,,
23668,1187,632,4,426,552,0,0
,,,,,,,
23683,1191,628,4,433,552,0,0
,,,,,,,
23695,1195,624,4,440,552,0,0
,,,,,,,
23709,1199,620,4,447,552,0,0
,,,,,,,
23722,1203,616,4,454,552,0,0
,,,,,,,
23734,1207,612,4,461,546,0,0
,,,,,,,
23750,1211,608,4,468,540,0,0
,,,,,,,
23765,1215,604,4,468,540,0,0
,,,,,,,
23777,1219,600,4,468,540,0,0
,,,,,,,
23790,1223,596,4,468,540,0,0
,,,,,,,
23802,1227,592,4,468,534,0,0
,,,,,,,
23815,1231,588,4,468,534,0,0
,,,,,,,
23827,1235,584,4,468,534,0,0
,,,,,,,
23840,1239,580,4,468,534,0,0
,,,,,,,
23854,1243,576,4,468,534,0,0
,,,,,,,
23870,1247,572,4,468,534,0,0
,,,,,,,
23884,1251,568,4,468,534,0,0
,,,,,,,
23899,1255,564,4,468,534,0,0
,,,,,,,
23910,1259,560,4,468,534,0,0
,,,,,,,
23924,1263,556,4,468,528,0,0
,,,,,,,
23939,1267,552,4,468,522,0,0
,,,,,,,
23951,1271,548,4,468,522,0,0
,,,,,,,
23966,1275,544,4,468,522,0,0
,,,,,,,
23978,1279,540,4,468,522,0,0
,,,,,,,
23991,1283,536,4,468,522,0,0
,,,,,,,
24006,1287,532,4,468,522,0,0
,,,,,,,
24017,1291,528,4,468,516,0,0
,,,,,,,
24032,1295,524,4,468,516,0,0
,,,,,,,
24043,1299,520,4,468,516,0,0
,,,,,,,
24057,1295,516,4,468,516,0,0
,,,,,,,
24068,1291,512,4,468,516,0,0
,,,,,,,
24082,1287,508,4,468,516,0,0
,,,,,,,
24093,1283,504,4,468,516,0,0
,,,,,,,
24107,1279,500,4,468,516,0,0
,,,,,,,
24118,1275,496,4,468,516,0,0
,,,,,,,
24132,1271,492,4,468,516,0,0
,,,,,,,
24143,1267,488,4,468,516,0,0
,,,,,,,
24157,1263,484,4,468,516,0,0
,,,,,,,
24170,1259,480,4,468,516,0,0
,,,,,,,
24183,1255,476,4,468,516,0,0
,,,,,,,
24195,1251,472,4,468,516,0,0
,,,,,,,
24209,1247,468,4,468,516,0,0
,,,,,,,
24222,1243,464,4,468,516,0,0
,,,,,,,
24235,1239,460,4,468,516,0,0
,,,,,,,
24249,1235,456,4,468,516,0,0
,,,,,,,
24261,1231,452,4,468,516,0,0
,,,,,,,
24274,1227,448,4,468,516,0,0
,,,,,,,
24288,1223,444,4,468,516,0,0
,,,,,,,
24300,1219,440,4,468,516,0,0
,,,,,,,
24315,1215,436,4,468,516,0,0
,,,,,,,
24327,1211,432,4,468,516,0,0
,,,,,,,
24340,1207,428,4,468,516,0,0
,,,,,,,
24352,1203,424,4,468,516,0,0
,,,,,,,
24366,1199,420,4,468,516,0,0
,,,,,,,
24378,1195,416,4,468,516,0,0
,,,,,,,
24390,1191,412,4,468,516,0,0
,,,,,,,
24403,1187,408,4,468,516,0,0
,,,,,,,
24416,1183,404,4,468,516,0,0
,,,,,,,
24428,1179,400,4,468,516,0,0
,,,,,,,
24442,1175,396,4,468,516,0,0
,,,,,,,
24456,1171,392,4,468,516,0,0
,,,,,,,
24470,1167,388,4,468,516,0,0
,,,,,,,
24485,1163,384,4,468,516,0,0
,,,,,,,
24498,1159,380,4,468,516,0,0
,,,,,,,
24510,1155,376,4,468,516,0,0
,,,,,,,
24525,1151,372,4,468,516,0,0
,,,,,,,
24537,1147,368,4,468,516,0,0
,,,,,,,
24549,1143,364,4,468,516,0,0
,,,,,,,
24561,1139,360,4,468,516,0,0
,,,,,,,
24573,1135,356,4,468,516,0,0
,,,,,,,
24586,1131,352,4,468,516,0,0
,,,,,,,
24600,1127,348,4,468,516,0,0
,,,,,,,
24614,1123,344,4,468,516,0,0
,,,,,,,
24626,1119,340,4,461,516,0,0
,,,,,,,
24639,1115,336,4,454,516,0,0
,,,,,,,
24652,1111,332,4,447,516,0,0
,,,,,,,
24667,1107,328,4,440,516,0,0
,,,,,,,
24678,1103,324,4,433,516,0,0
,,,,,,,
24691,1099,320,4,426,516,0,0
,,,,,,,
24707,1095,316,4,419,516,0,0
,,,,,,,
24723,1091,312,4,412,516,0,0
,,,,,,,
24736,1087,308,4,405,516,0,0
,,,,,,,
24749,1083,304,4,398,516,0,0
,,,,,,,
24761,1079,300,4,391,516,0,0
,,,,,,,
24774,1075,296,4,384,516,0,0
,,,,,,,
24789,1071,292,4,377,516,0,0
,,,,,,,
24803,1067,288,4,370,516,0,0
,,,,,,,
24817,1063,284,4,363,516,0,0
,,,,,,,
24831,1059,280,4,356,516,0,0
,,,,,,,
24843,1055,276,4,349,516,0,0
,,,,,,,
24857,1051,272,4,342,516,0,0
,,,,,,,
24870,1047,268,4,335,516,0,0
,,,,,,,
24882,1043,264,4,328,516,0,0
,,,,,,,
24894,1039,260,4,321,516,0,0
,,,,,,,
24908,1035,256,4,314,516,0,0
,,,,,,,
24922,1031,252,4,307,516,0,0
,,,,,,,
24934,1027,248,4,300,516,0,0
,,,,,,,
24948,1023,244,4,293,516,0,0
,,,,,,,
24959,1019,240,4,286,516,0,0
,,,,,,,
24973,1015,236,4,279,516,0,0
,,,,,,,
24986,1011,232,4,272,516,0,0
,,,,,,,
24999,1007,228,4,265,516,0,0
,,,,,,,
25012,1003,224,4,258,516,0,0
,,,,,,,
25025,999,220,4,251,516,0,0
,,,,,,,
25039,995,216,4,244,516,0,0
,,,,,,,
25051,991,212,4,237,516,0,0
,,,,,,,
25066,987,208,4,230,516,0,0
,,,,,,,
25076,983,204,4,223,516,0,0
,,,,,,,
25091,979,200,4,223,516,0,0
,,,,,,,
25102,975,196,4,223,516,0,0
,,,,,,,
25115,971,192,4,223,516,0,0
,,,,,,,
25127,967,188,4,223,516,0,0
,,,,,,,
25140,963,184,4,223,516,0,0
,,,,,,,
